	alias	IDPersoon
208	Van Tuyll van Serooskerken van Vleuten	301
209	Van der Borch van Vorden	294
210	Van Pallandt van Eerde	450
211	Van Kinsbergen van Doggersbank	232
212	Van Heeckeren van de Cloese	304
213	Van Haersolte van Staverden	314
214	Van Pallandt van Walfort en Klarenbeek	1574
215	Aaldert Schouten	1628
216	Wittert van Hoogland	3569
217	Van Doorn van Westkapelle	3088
218	Linsen de Jonge	2463
219	Van Gennip	460
220	Van Nagell van Ampsen	3257
221	Van Rhemen van Rhemenshuizen en de Geldersche Toren	886
