	IDAcademischeTitel	AcademischeTitel
0	1	
1	3	dr.
2	4	mr.
3	5	lic.
4	6	mr.dr.
5	7	prof.dr.
6	8	prof.mr.
7	9	ds.
8	10	prof.ds.
