	IDlokaal	lokaal	volgnummer
215	218	Herk-de-stad	0
216	219	Koninksem	0
217	220	Mechelen	0
218	221	Zonhoven	0
219	222	Maaseik	0
220	223	Sint Truiden	0
221	224	Tongeren	0
222	225	Culemborg	0
223	226	Doesburg	0
224	227	Elburg	0
225	228	Groenlo	0
226	229	Hattem	0
227	230	Lochem	0
228	231	Nijkerk	0
229	232	Wageningen	0
230	233	Apeldoorn/Brummen	0
231	234	Doesburg (plattelandsdistrict)	0
232	235	Groenlo (plattelandsdistrict)	0
233	236	Heerde/Barneveld [Elspeet]	0
234	237	Nijmegen/Druten [Druten]	0
235	238	Tiel/Elst	0
236	239	Zaltbommel (plattelandsdistrict)	0
237	240	Zutphen (plattelandsdistrict)	0
238	241	Aalten	0
239	242	Ede	0
240	243	Geldermalsen	0
241	244	Oldebroek	0
242	245	Putten	0
243	246	Voorst	0
244	247	Wychen	0
245	248	Zevenaar	0
246	158	Aengwirden	0
