	IDlokaal	lokaal	volgnummer
215	217	Landgericht Enschede	0
216	218	Stad Genemuiden	0
217	219	Schoutambt Genemuiden	0
218	220	Giethoorn	0
219	221	Goor	0
220	222	Grafhorst	0
221	223	Gramsbergen	0
222	224	Haaksbergen	0
223	225	Stad Hardenberg	0
224	226	Schoutambt Hardenberg	0
225	227	Stad Hasselt	0
226	228	Schoutambt Nieuwesluis en Hasselerkerspel	0
227	229	Heino	0
228	230	Hellendoorn	0
229	231	Holten en Bathmen	0
230	232	Kampen	0
231	233	Kamperveen	0
232	234	Landgericht Kedingen	0
233	235	Markelo	0
234	236	Kuinre en Blankenham	0
235	237	Stad Oldenzaal	0
236	238	Landgericht Oldenzaal	0
237	239	Olst	0
238	240	Stad Ommen	0
239	241	Schoutambt Ommen en Den Ham	0
240	242	Stad Ootmarsum	0
241	243	Raalte	0
242	244	Rijssen	0
243	245	Staphorst, Rouveen en IJhorst	0
244	246	Stad Steenwijk	0
245	247	Schoutambt Steenwijk en Steenwijkerkerspelen	0
246	248	Stad Vollenhove	0
247	249	Schoutambt Vollenhove	0
248	250	Vriezenveen	0
249	251	Wanneperveen en Dinxterveen	0
250	252	Wijhe	0
251	253	IJsselham, Oldemarkt en Paasloo	0
252	254	IJsselmuiden	0
253	255	Zalk en Veecaten	0
254	256	Zwartsluis	0
255	257	Stad Zwolle	0
256	258	Schoutambt Zwolle	0
257	259	Landgericht Diepenheim	0
258	260	Landgericht Ootmarsum	0
259	261	Wilsum	0
260	262	Arnhem	0
261	263	Wageningen	0
262	264	Harderwijk	0
263	265	Elburg	0
264	266	Hattem	0
265	267	Ede	0
266	268	Barneveld	0
267	269	Nijkerk	0
268	270	Putten	0
269	271	Ermelo	0
270	272	Doornspijk	0
271	273	Oldebroek	0
272	274	Heerde	0
273	275	Epe	0
274	276	Nijbroek	0
275	277	Apeldoorn	0
276	278	Voorst	0
277	279	Brummen	0
278	280	Rheden	0
279	281	Renkum	0
280	282	Scherpenzeel	0
281	283	Hoevelaken	0
282	284	Rosendaal (Geld.)	0
283	285	Doorwerth	0
284	286	Nijmegen	0
285	287	Rijk van Nijmegen	0
286	288	Ambt van Nederbetuwe	0
287	289	Ambt van Maas en Waal	0
288	290	Ambt van Tielerwaard (met Beesd en Rhenoy)	0
289	291	Ambt van Bommelerwaard	0
290	292	Tiel	0
291	293	Zaltbommel	0
292	294	Ambt van Overbetuwe	0
293	295	Doesburg	0
294	296	Doetinchem	0
295	297	Lochem	0
296	298	Groenlo	0
297	299	Zutphen	0
298	300	Eerste Departement - Beek	0
299	301	Eerste Departement - Didam	0
300	302	Eerste Departement - Angerlo	0
301	303	Eerste Departement - Bahr en Latum	0
302	304	Eerste Departement - Westervoort	0
303	305	Eerste Departement - Drempt	0
304	306	Eerste Departement - Hoog- en Laag-Keppel	0
305	307	Tweede Departement - Steenderen	0
306	308	Tweede Departement - Bronkhorst	0
307	309	Tweede Departement - Hummelo	0
308	310	Tweede Departement - Vorden	0
309	311	Tweede Departement - Warnsveld en Wichmond	0
310	312	Tweede Departement - Almen	0
311	313	Tweede Departement - Gorssel	0
312	314	Derde Departement - Zeddam	0
313	315	Derde Departement - 's-Heerenberg	0
314	316	Derde Departement - Stokkum	0
315	317	Derde Departement - Netterden	0
316	318	Derde Departement - Etten	0
317	319	Vierde Departement - Terborg	0
318	320	Vierde Departement - Varsseveld	0
319	321	Vierde Departement - Silvolde	0
320	322	Vierde Departement - Ligtenberg	0
321	323	Vierde Departement - Lichtenvoorde	0
322	324	Vijfde Departement - Richterambt Doetinchem	0
323	325	Vijfde Departement - Zelhem	0
324	326	Vijfde Departement - Roderlo	0
325	327	Vijfde Departement - Hengelo	0
326	328	Zesde Departement - Bredevoort	0
327	329	Zesde Departement - Aalten	0
328	330	Zesde Departement - Winterswijk	0
329	331	Zesde Departement - Dinxperlo	0
330	332	Zevende Departement - Borculo	0
331	333	Zevende Departement - Beltrum	0
