	IDlokaal	lokaal	volgnummer
0	1	Middelburg	1
1	3	Brigdamme	3
2	4	Sommelsdijk	4
3	5	Zierikzee	5
4	6	St Maartensdijk	6
5	7	Delft	0
6	8	Arnhem	0
7	9	Gouda	0
8	10	Amsterdam	0
9	11	Gorinchem	0
10	12	Dordrecht	0
11	13	Schiedam	0
12	14	Rotterdam	0
13	15	Haarlem	0
14	16	Leiden	0
