	IDRegent	IDBron	deel en paginanummer
9672	2356	344	(geen nummering/paginering)
9673	5230	349	1289a.
9674	1938	66	(1981) 462, (1982) 244.
9675	5211	537	nr. 112.
9676	3718	194	158, 166, 171, 172, 175-177, 179, 180.
9677	5202	193	349.
9678	3373	313	357, 872, 878-884, 897, 937, 1014, 1115,  1200, 1202, 1205, 1215, 1216, 1245, 1246, 1314, 1315, 1317, 1320, 1343, 1344, 1346, 1354, 1355, 1508, 1509-1524, 1649, 1655-1658, 1667, 1730, 1775, 1783, 1787-1791.
9679	590	287	584.
9680	29	300	9565-9607, 9615-9621.
9681	1582	204	hoofdstuk 4.
9682	2672	218	9288, 5443, 1118, 11476, 9936.
9683	1800	349	578, 591, 595, 612, 613, 623.
9684	1955	349	144, 166.
9685	1803	522	nr. 1119.
9686	5271	277	p. 120.
9687	5229	349	1036, 1040a, 1058a.
9688	1635	349	1076, 1083, 1238, 1253.
9689	2362	349	1085, 1099, 1125a
9690	104	349	983, 1010, 1125a.
9691	550	349	925, 926, 940, 941, 950, 960, 981, 984, 988, 990, 1000, 962a.
9692	569	349	869, 961, 975.
9693	5168	342	169, 782.
9694	1093	373	II, xlix.
9695	5291	349	286, 292.
9696	3239	53	bijlage p. 174
9697	2705	53	bijlage p. 172.
9698	5113	53	bijlage p. 172.
9699	3119	53	bijlage p. 172.
9700	179	53	1488, bijlage p. 173.
9701	1305	507	nr. 354.
9702	5115	53	bijlage p. 175.
9703	1072	53	bijlage p. 176.
9704	5116	53	bijlage p. 176.
9705	1770	349	324, 327, 432, 438, 441, 680, 784, 790, 791, 794, 797.
9706	551	349	414, 714.
9707	5294	349	345, 368.
9708	3447	53	p. 32 voor nr. 21, 718-720, 885, 898-904, 910-914, 916-918, 920, 921, 924-925, 928, 930-931, 933.
9709	2672	350	1238.
9710	1976	352	6.1; 6.5.
9711	1840	352	6.1; 6.5.
9712	2084	352	6.3; 6.5.
9713	5323	353	1483.
9714	5407	365	287/3.
9715	5312	354	65.
9716	2544	357	42-45, 47-50.
9717	5317	353	2880.
9718	724	353	1524, 1965.
9719	5674	599	nr. 26.
9720	5445	277	XV +noot 44.
9721	2812	358	1472, 1477.
9722	5331	358	1471, 1485.
9723	5330	357	61, 78.
9724	905	359	549, 552.
9725	5335	359	344, 345.
9726	5357	359	199, 207, 273, 310, 313.
9727	3005	359	311, 315, 316.
9728	5358	359	323, 329.
9729	5337	358	480-506, 1475, 1509.
9730	2812	185	332, 920, 953.
9731	3598	335	29 (p. 13), 240.
9732	5340	359	602, 617, 621, 630.
9733	29	273	751C.i+j.
9734	2416	359	44, (45), 67.
9735	3224	66	(1948) 187, 189
9736	599	347	p. 67, 70, 270
9737	5347	358	1476.
9738	2812	359	332, 345, 359, 392, 396, 415, 430, 438, 440.
9739	129	353	260, 2272.
9740	599	149	210, 473-476.
9741	912	359	352, 367, 368, 374, 406, 414, 422, 426, 431, 455, 456, 458, 462, 472, 475.
9742	2300	353	329, 1342, 1891.
9743	5365	359	34, 35, 42.
9744	5331	359	172, 179, 223, 224, 230.
9745	4088	513	nr. 406.
9746	5356	359	310.
9747	2360	226	469.
9748	4691	359	270.
9749	5133	587	712, 1434, 1435.
9750	2304	274	3180-3181, 3183, 4049-4051.
9751	3731	193	123+124.
9752	3236	359	297, 302, 305, 310.
9753	5344	359	 684, 688.
9754	5386	359	687+688 .
9755	5339	359	709-711.
9756	261	273	652A.
9757	2631	359	337, 340, 341, 352, 367.
9758	5348	359	381, 427.
9759	1473	609	map 7, nr. 1059. 120.
9760	5332	359	356, 401.
9761	2035	346	p. 68/69.
9762	3129	365	339/4, 339/26, 341, 342/78, 344, 345/48, 347/2, 1843, 5008/10.
9763	5408	365	339/4, 339/26, 341, 342/2, 342/20, 342/22, 342/55, 342/59, 345/48.
9764	4529	272	1359, 1785-1786.
9765	3757	365	287/4, 342/2, 342/20, 342/22, 342/28,  342/30, 342/35, 342/36, 342/55, 342/59-342/61, 342/174a, 347/2, 477/11.
9766	44	365	287/5, 345/2, 347/2.
9767	1674	346	p. 69 noot 16, p. 71, p. 72, p. 73, p. 87/88.
9768	1675	346	p. 84/85-86.
9769	1786	346	p. 72, p. 87.
9770	5217	346	p. 72/73, p. 78 noot 39.
