	IDprovincie	provincie	Volgnummer
0	2	Groningen	7
1	3	Holland	2
2	5	Zeeland	3
3	6	Friesland	5
4	7	Utrecht	4
5	8	Gelderland	1
6	9	Overijssel	6
7	11	Brabant	0
8	12	Vlaanderen	0
9	13	Artois	0
10	14	Henegouwen	0
11	17	Namen	0
12	15	Waals-Vlaanderen	0
13	10	Holland en Zeeland	8
