	alias	IDPersoon
253	Jan Bouwensz.	562
254	Jacquemart van Asch	1520
255	Jan van Steenbergen	1529
256	Van den Broeke	1544
257	Stephan Scherff	1554
258	Steven Scherf	1554
259	Anthonis de Lokere	1560
260	Anthonis de Lonckere	1560
261	Gerrit Pietersz d'Oude	1571
262	Gerrit Pietersz l'Aisné	1571
263	Jeronimus Bruynseels	1574
264	Jacob Jansz van Velzen	1577
265	Jacob Jansz van Haarlem	1577
266		794
267	genaamd Peereboem	692
268		743
269	Osdorp	1610
270	Magister	568
271	Lombise	1646
272	drossaart van Diest, of heer van Mal.	95
273	de jonker van Arkel.	1850
274	Jan uten Waarde.	1861
275	Jacob van Benthem.	1871
276		1629
277	Goedsot	1996
278	van Heemskerk	2019
279	van Heemskerk	2020
280	Wouter van den Berge.	2115
281	van Alkemade.	2388
282	ook als tHert.	1702
283	ook als tHert.	2057
284	Jan van der Scaghe.	1828
285	Jan van Beaumont, Jan van Blois	2455
286	geheten van Engeland.	2457
287	Jan van den Steen, Lem Scheve Nevenz.	2479
288	geheten van Engeland.	2459
289	Hendrik van Gheldenake.	2504
290	ook als : Jan van den Briel, of Jan van Rapenburg.	114
291	Willen Dullaert.	1627
292	Jan van Ammers.	2290
293	Hendrik heer Diederik Zayenz.	2443
294	Lange Adriaan.	2572
295	Jan Hendriksz. van Schoonhoven	153
296	van Kest.	2635
297	gez. Briel.	2670
298	Viry	2617
299		2624
300	Joost van Minnen.	2687
301	gezegd van Diemen.	2710
302	(van Hogenhouck)	1035
303	van der Campen, uten Campen.	2723
304	Wouter van der Eycke, genaamd Van Heusden.	132
305	van der Valk.	2619
306	van Vianen.	2386
307	genaamd Fallais.	2847
308	Rijn, Rin.	1058
309	Jan Meetteneye.	3052
310	Jan Jan Duven zoonsz.	3079
311	Montfoort van Zwieten.	2133
312	van der Hameyden van den Abeele.	1578
313	van der Hameyden van den Abeele.	1025
314	Zegers d'Ydegom, heer van Wassenhove	1616
315	ook als Willem Eggert van Gendt.	1971
316	mr. Tielman van Striene.	2236
317	Stadink Maasz. van Dubbelmonde.	2652
318	van Varik.	3228
319	Ghistelles	3512
320	genaamd Vos.	3566
321	Diepenhorst alias de Soos	3603
322	Haastenberg.	3604
323	bastaardzoon van Holland	3643
324	Rycoult van den Broek.	3646
325	Floris heren Dirks Bokelsbroeder.	3674
326	van der Spange	3679
327	Amelis van Amstel van Mijnden	1749
328	Harbaren van Riede.	3767
329	Dirk Verdoes.	3817
330	Luter Teylinc	41
331	ook Willem Arnoudsz.	3581
332	Jan Willemsz. van der Borch.	3948
333		3994
334	Pijnsz.	1131
335	Baert.	4136
336	Huge heren Gerritsz. (van Schiedam).	4220
337	Leen.	4344
338	Jan Cornelis Pietersz.	2633
339	Klaas Arendsz. Bartelmueusz.	4494
340	Adolf van Wakken	4495
341	ook als Bucquet	1562
342	Jeronimus de Rollez.	198
343	de Munt.	1519
344	Hugo Duuk.	4579
345	Engelbrecht bastaard van Duvenvoorde	2256
346	Jacob Mauritsz.	1471
347	Hendrik Mida.	606
348	Widt	2676
349	van Heemskerk	2275
350	Jan Hendriksz. van der Goude	2330
351	Tromperius.	5069
