	IDregio	regio	volgnummer
0	1	Oostergo	0
1	2	Westergo	0
2	3	Zevenwolden	0
3	4	Salland	0
4	5	Twente	0
5	6	Vollenhove	0
6	7	Hunsingo	0
7	8	Fivelingo	0
8	9	Westerkwartier	0
9	11	Zutphen	0
10	13	Nijmegen	0
11	14	Roermond	0
12	10	Veluwe/Arnhem	0
13	17	Ommelanden van Groningen	0
