	alias	IDPersoon
170	Dirk van Teylingen	696
171	Albrecht van Schagen	2014
172	Theodoricus van Leyden van Leeuwen	1613
173	Gerardt Doesze	1616
174	Gerardt Deuse	1616
175	Gerardt Deusze	1616
176	Frederick Boymer	2853
177	Floris Schoterbosch	1667
178	Andries Cornelisz. de Witte	1708
179	Frederik de Lier	1804
180	Johan Iman Cau van de Dussen	2735
181	Johan van Zuijrendael	2791
182	Franchois Boot	2796
183	Cornelis van Groendijk	1785
184	Meinardus van Buuren	2799
185	Johan Raven	1847
186	Evert Both van der Eem	2840
187	Pieter Rosa (vanaf 1682)	238
188	Jan Arentsz. Snyder	3011
189	Dirck Reynersz. Bood	3015
190	Jan Adriaensz. Croon	3018
191	Bouwen Heijnsz.	1175
192	Govert Christiaensz. van Slingeland	2516
193	Adriaan Andriesz. de Lange	959
194	Everard Verschuyr	2328
195	Adriaan van Clevesteijn	1072
196	Willem Keyzer	1403
197	Diderik van der Meyden	1926
198	Gerrit Aertsz. van Hasselt	2339
199	Wouter Jacobsz. Schaep	2007
200	Wouter Jacobsz. Scharp	2007
201	Jan Dircksz. van der Zeijde	2353
202	David Jacobsz. van den Heuvel	2326
203	Johan Pauli	1621
204	Pieter Arijensz. Bois	1026
205	Pieter Arijensz. Boys	1026
206	Carel Bosgaert	1409
207	Bruine Arendsz. van der Dussen	1022
208	Cornelis Mesen	1032
209	Nicolaas Ewoutsz. Vermeulen	2284
210	Zacharias Hoffdijck van Beresteyn	346
211	Dirk Jansz. Heemskerk van Beest	298
212	Michiel Willemsz. van Hoyst	1330
213	Jan Pietersz. Reijnse	543
214	Cornelis de Jonge	592
215	Arnout Daye de Jode jr.	852
216	Paulus Bordsen	1689
217	Paulus Baertssen	1689
218	Paulus Basson	1689
219	Louis Heuriblocq	2188
220	Louis Huerenblock	2188
221	Pieter Claesz. Verhorst	2367
222	Job Pietersz. Ruvere	1970
223	Job Pietersz. van Ruiven	1970
224	Job Pietersz. van Roeren	1970
225	Willem Vrancken	2368
226	Pieter Rodincx	1994
227	Jan Cornelisz. Verhé	2002
228	Mattheus Augustijnsz. Steyns	2006
229	Jan Cornelisz. Schellingen	2310
230	Cornelis Nicolai	660
231	Cornelis Florisz. Blom	2494
232	Wigbold Adriaan Graaf van Nassau-Bergen	2660
233	Cornelis Teymon	2877
234	Jacob de Block	2960
235	Nicolaas de Block	2959
236	Johan Ghyselingh	3119
237	Gasper Ingelsen	3120
238	Ingel Leunissen	3115
239	Adriaan Mannemaker	3057
240	Diderik Buysero	2994
241	Johan Gijseling	3193
242	Salomon Dierquens	418
243	André Hesselt van Dinther	3227
244	Andries Hessels van Dinther	3227
245	Mattheus Hessels van Dinther	3231
246	Jasper van Kinschot	407
247	Boudewijn van Barlicom	3245
248	Gijsbrecht van Loen	3253
249	Cornelis Vrancken	3252
250	Derk Frederik van Voorst tot Alerdinck	3413
251	Borchard Joost van Welvelde tot Buckhorst	3268
252	Wolter Jan van Broeckhuysen tot den Doorn	3272
253	Wolf Bentinck tot Langevelso	3273
254	August Leopold van Pallandt tot Eerde	3277
255	Gerrit Helmich van Voorst tot Alerdinck	3279
256	Robert Hendrik van Hambroeck tot Welefelt	3330
257	Frederik Gijsbert van Dedem tot den Pekkedam	3331
258	Frederik Gijsbert van Dedem tot Hackmeule	3331
259	Arend van Raesfelt tot Elssen	3329
260	Arend Coenraad van der Lauwick tot Benthuis	3445
261	Christoffel Aemilius van Voorst tot Hagenvoorde	3499
262	Gillis de Geerbode	994
263	Adriaan van Allemande	1003
264	Jacob Wormersen van Schonen	1051
265	Cornelis van Nierop	1066
266	Joachim van Nierop	1067
267	Adriaan de Raat	1099
268	Cornelis Cornelisz. Butterkooper	1231
269	Adriaen 't Jonk	1646
270	Kasper van Poelgeest	1983
271	Joos de Huybert	3156
272	Cornelis Joansz. Steengracht de Wehl	3186
273	Gerhardt Doncker	3290
274	Roelof van den Clooster tot Groenlo	3509
275	Pieter Stas	3258
276	Henrick Nieulandt	3565
277	Johan d'Alles	3178
278	Cornelis Munnicken	2880
279	Bonaventura Broen de Keijzer	2924
280	Jacob Arent Baron de Perponcher Sedlnitsky	430
281	Willem Coux	2928
282	George Rathaller	1736
283	Alexander Widenbrug	2262
284	Crijn Takesz. Ossekooper	1235
285	Frederik Ricxen	1759
286	Jacob Pietersz. Tromp	2130
287	Nanning Kayser	2241
288	Jan Jansz. Teengh van Berkhout	2309
289	Willem van der Aa	2368
290	Jacob Johansz. van Meeuwen	2479
291	Willem Cornelisz. de Jonge	2521
292	Aelbert Nierop	2715
293	Johan Valentijn Sprenger	3167
294	Gerhard Joan van Suchtelen	3306
295	Berent de Lespierre	3743
296	Roelof van Hoevell tot Nijenhuis	3808
297	Roelof van Hoevell tot den Dam	3808
298	Pieter de Hynojossa	1676
299	Jodocus de Huybert	3156
300	Pieter Ingelveert	3053
301	Pieter Engelvaart	3053
302	Cornelis Staefnisse	3144
303	Cornelis Staefvenisse	3144
304	Joos Ewoudsz. Teeling	3079
305	Pieter Duijvelaer	3157
306	François Valerius	4043
307	David Hubert Verelst	3852
308	Jan van de Werke	3140
309	Nicolaas Willemsz. van Cromstryen	4059
310	Dirck Stickingh	3283
311	Lambert ter Cuelen	3812
312	Lambert ter Coelen	3812
313	Hendrik Haga	3364
314	Diederik Stikke	3283
315	Arnold Lemker	3296
316	Casper ter Borchorst	3339
317	Casper ter Borgersz.	3339
318	Hendrik ter Coelen	3381
319	Steven Cornelisz. Nijs	3067
320	Pieter Jansz. Liorne	4078
321	Pieter Jansz. Livorne	4078
322	Willem Pietersz. Caescooper	2524
323	Theodorus Huberti	3816
324	Willem Ripperda tot Hengelo	3317
325	Ernst van Ittersum tot de Hofstede	3631
326	Willem Ripperda tot Boekelo	3317
327	Arend Sloet tot Tweenijenhuizen	3455
328	Willem Jurjen van den Boetzelaer tot Westerholt	3706
329	Peter van Uterwyck tot Alerdinck	3436
330	Ernst van Ittersum tot Beverveurde	3437
331	Gerrit Sloet tot Bannevelt	3453
332	Arend Herman Sloet tot Tweenijenhuizen	3732
333	François Francq	1655
334	Crijn Takesz. Osseweyer	1235
335	Pieter Ingelbert	3053
336	Feynte Fredericx	4109
337	George de Bie	3997
338	Jacques Walravens	4110
339	Fento Rixen	4109
340	Fento Fredericsz. Blauvelt	4109
341	Pieter van Borre	3257
342	Augustinus Bakker	3969
343	Jacob Fabrice Bouman	3989
344	Jacob van Aerssen	3230
345	Pierre Changuion	4149
346	Hendrik Verburch	4171
347	Casper Fagel	770
348	Hendrik Huigh	1162
349	Comen Reyner Fransz.	1195
350	Adolphus Transisulanus van Voorst	1852
351	Hendrik Willemsz. van den Broeck	1972
352	Willem van Lijere	2019
353	Galenus Bevers	2990
354	Jodocus Fockinck	3574
355	Theodorus Berdenis	3742
356	Johan ter Beeck	3810
357	Adriaan van der Hooge	2834
358	Nicolaas Willem Symonsz. Cromstryen	4059
359	Johan Ghiselyn	3193
360	François Francken	1655
361	Johan van Boeckhoven	2954
362	Diederik van Egmond van de Nijenburg	1625
363	Gerrit Jansz. van de Nieuburch	1266
364	Cornelis Jansz. van de Nieuwburg	1980
365	Johan Gerritsz. van de Nijenburgh	1275
366	Lucas Siberti	4200
367	Gasper Jacob van Citters	2940
368	Jan André van der Meulen	4239
369	Meynart van Hensz.	4212
370	Meynart van Huessen	4212
371	Meynart van Huissen	4212
372	Jacob van Beresteyn	4211
373	Jan Claasz. Noortland	2232
374	Joachim van den Boetzelaer tot Toutenburg	4096
375	Van Pallandt tot Beerse	3716
376	Van Wassenaer van Starrenburg	250
377	Hendrik Jansz. Mossel van Stralen	471
