	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode
623	1859	Bekestein	van	1.0	1.0	Jan	0					0		0		0
624	1860	Bennebroek	van	8.0	1.0	Gerrit	1					0	1429.0	1	"Volgens Prevenier - baljuw van Westvoorne; volgens de Ned. Leeuw - baljuw van Oostvoorne. 
Adelstitel: knaap 1416."	0
625	1862	Benthem	van	6.0	1.0	Simon	1		 de Binkhorst			0	1326.0	1	"Persoonsgegevens: vader van Jan van Rozenburg en Jacob van de Binkhorst.
Adelstitel: ridder 1306."	0
626	1868	Beyling		1.0	1.0	Joris - Splintersz.	0					0		0		0
627	1869	Beyntgen		1.0	1.0	Herman	0					0		0	Overig: in dienst van Willem van Oostervant 1404.	0
628	1872	Bisanten	van	1.0	1.0	Jan Simonsz.	0					0		0		0
629	1873	Blok		6.0	1.0	Huge	1					0		0	"Adelstitel: knaap 1353, ridder 1356.
Overig: in dienst van Willem V 1351-1353, in dienst van Albert 1358. Schepen van Middelburg 1385."	0
630	1874	Bloemenstein	van	6.0	1.0	Jan	1					0		0	"Adelstitel: ridder 1351.
Overig: meesterridder van de herberg? 1351."	0
631	1875	Bloemenvenne	van	1.0	1.0	Dirk	0					0		0		0
632	1877	Blois	bastaard van	6.0	1.0	Jan	1		Treslong	Cabauw, Benthuizen	1360	1	1435.0	0	"Adelstitel: ridder 1398.
Overig: meesterridder van Willem VI 1411."	0
633	1880	Blote	de	1.0	1.0	Willem	0					0		0		0
634	1884	Boen		1.0	1.0	Hendrik	0					0		0		0
635	1538	Arras	van	1.0	1.0	Jan	0					0		0	Waarschijnlijk dezelfde als de Brabantse muntmeester van 1420-1421	0
636	1893	Borselen	van	6.0	1.0	Hendrik	1		Veere	Zandenburg		0	1404.0	0	"Adelstitel: ridder 1361.
Overig: grafelijk zegelaar 1362."	0
637	1894	Borselen	van	8.0	1.0	Jacob	1		Brigdamme	 Zoutelande, St. Laurens		0		0	Adelstitel: knaap 1416.	0
638	1896	Borselen	van	6.0	1.0	Klaas	1		Brigdamme			0		0	Adelstitel: ridder 1342.	0
639	1899	Borselen	bastaard van	1.0	1.0	Pieter	0					0		0		0
640	1901	Borselen	van	6.0	1.0	Wolfert III	1		Veere	Zandenburg		0	1351.0	0	"Adelstitel: ridder 1337.
Overig: zegelaar 1344."	0
641	1905	Botland	van	1.0	1.0	Raas	0					0		0		0
642	1909	Brakel	van	1.0	1.0	Jan	0					0		0	In dienst van Jan en Guy van Blois, klerk van de kost van Jan van Blois 1374-1375.	0
643	1923	Burg	van der	8.0	1.0	Jan	1					0		0	"Adelstitel: knaap 1351.
Amnestie 1355. 
Prevenier plaatst een vraagteken bij het baljuwschap van Den Haag."	0
644	1926	Burg	van der	1.0	1.0	Willeman	0					0		0		0
645	1927	Byland	van	1.0	1.0	Frank	0					0		0		0
646	1928	Kamp	uten		1.0	Floris	0					0		0		0
647	1539	Oem van Wijngaarden		1.0	1.0	IJsbrand	0					0		0		0
648	1936	Coulster	van der	1.0	1.0	Willem IJsbrandsz.	0					0		0		0
649	1937	Kraken	van	1.0	1.0	Pieter	0					0		0		0
650	1938	Kronenburg	van	6.0	1.0	Dirk	1					0		0	Adelstitel: ridder 1358.	0
651	1939	Kronenburg	van	6.0	1.0	Hendrik	1		Loenen			0	1445.0	0	"Adelstitel: ridder 1417.
Overig: in dienst van Jacoba van Beieren 1426."	0
652	1941	Kronenburg	van	6.0	1.0	Willem	1		Loenen			0	1398.0	0	"Adelstitel: ridder 1395.
Overig: meesterknaap 1388."	0
653	1946	Dever		6.0	1.0	Reinier	1		Snijdelwijk			0	1417.0	0	"Adelstitel: knaap 1351, ridder 1362.
Overig: hoogheemraad van Rijnland 1363. Amnestie 1355."	0
654	1947	Diepenburg	van	6.0	1.0	Gijsken	1					0	1409.0	1	"Persoonsgegevens: zoon van Adam van Berwaerde.
Adelstitel: ridder 1399.
Overig: kamerling van Albrecht 1371-1384, tresorier (1386) en roedrager (1387-1388) van Willem van Oostervant"	0
655	1955	Dorp	van (den)	6.0	1.0	Filips	1					0	1411.0	0	"Zoon van Willem van Veen.
Adelstitel: knaap 1407, ridder 1408."	0
656	1957	Driel	van	1.0	1.0	Hendrik	0					0		0	Persoonsgegevens: ook als Drien.	0
657	1967	Duvenvoorde	van	6.0	1.0	Arend IV	1		Noordwijkerhout			0	1425.0	0	"Adelstitel: ridder 1400.
Overig: in dienst van Albrecht 1393, meesterridder van Willem VI. Verzoend 1394."	0
658	1971	Eggert		8.0	1.0	Willem	1		Purmerend	Westenrijk (Voorne)	1360	1	1417.0	0	"Adelstitel: knaap 1416.
Overig: wisselaar te Amsterdam 1393,  gaarder van Amstelland 1401, proost en aartsdiaken van Oudmunster 1416.
Vlgs. Prevenier: tresorier van Holland tot 1417."	0
659	1540	Oem		1.0	1.0	Dirk	0					0		0	Broer van Godschalk Oem van Wijngaarden (Tielmansz.) muntmeester van Dordrecht 1419-1429.	0
660	1976	Egmond	van	6.0	1.0	Gerrit Jansz.	1		Wateringen	Vlaardingerambacht	1355	1	1409.0	0	"Adelstitel: ridder 1397.
Overig: hoogheemraad van Delfland 1391-1396. Admiraal van de vloot tegen Friesland 1398."	0
661	1986	Foeck		1.0	1.0	Evert	0					0		0	Overig: deken van Oudmunster te Utrecht.	0
662	1987	Foreest	van	8.0	1.0	Herper	1		Middelburg	Schoterbosch		0	1459.0	0	"Adelstitel: knaap 1450.
Overig: thesaurier en schepen van Haarlem."	0
663	1991	Gent	van	8.0	1.0	Wouter	1					0	1431.0	1	"Adelstitel: knaap 1416.
Volgens Gonnet [Inleiding] overleden in 1413, volgens Steensel in 1431. Ambt van dijkgraaf (Steensel) vermeldt geen datum."	0
664	1992	Alewijnsz.		11.0	1.0	Gerrit	1		Rijsoord	Alebrandswaard, Zwijndrecht		0	1354.0	1	"Adelstitel: 1332. 
Leengriffier onder Willem III, IV en V; geen extacte datums bekend.
Overig: poorter van Leiden"	0
665	2001	Grebber		1.0	1.0	Gerbrant	0					0		0		0
666	2002	Groeneveld	van	8.0	1.0	Dirk	1					0		0	"Adelstitel: knaap 1351.
Overig: amnestie 1355."	0
667	2005	Haamstede van Moermond	van	8.0	1.0	Arend	1					0		0	Adelstitel: knaap 1416.	0
668	2011	Haamstede	van	6.0	1.0	Raas	1		Kruiningen			0		0	"Adelstitel: ridder 1409.
Overig: verbannen 1421."	0
669	2012	Haamstede	van	6.0	1.0	Willem	1		Kruiningen	Nieuweland		0		0	Adelstitel: ridder: 1397.	0
670	2014	Haastrecht	van	6.0	1.0	Paul	1		Haastrecht	Tienhoven, Loon op Zand, Tilburg, Goirle, Drunen, Gansoyen		0	1404.0	1	"Adelstitel: ridder 1377.
Overig: meester-ridder van de herberg 1388-1393, bottelier 1393, samen met Hugeman van Strijen grafelijk zegelaar 1394. In ongenade 1395 (daarna in Brabantse dienst)."	0
671	2021	Heemskerk	van	1.0	1.0	Hendrik Gerritsz.	0					0		0	Adelstitel: ambachtsheer in Zeeland.	0
672	2022	Heemskerk	van	6.0	1.0	Wouter	1		Luttik Oosthuizen	Bakkum, Nieuwerkerk, Rietwijk		0	1380.0	0	"Adelstitel: ridder 1351.
Overig: in ongenade 1356, 1359 - verzoend in hetzelfde jaar-, weer in ongenade 1378 - verzoend in 1379."	0
673	2024	Heemstede	van	6.0	1.0	Gerrit	1		Heemstede	Lisse, Voorhout, Bleiswijk, Noordwijkerhout		0	1382.0	1	"Adelstitel: ridder 1344.
Overig: grafelijk zegelaar 1347-1349. Amnestie 1355. Maarschalk voor Delft."	0
674	2027	Heenvliet	van	6.0	1.0	Huge	1					0		0	"Adelstitel: ridder 1383.
In dienst van Albrecht van Beieren 1372. Meester-ridder van Margaretha van Brieg 1383."	0
675	2028	Heenvliet	van	6.0	1.0	Jan Jansz.	1		Kattendijke	Stavenisse, 's-Heer Hendrikskinderen, Hindeloopen	1360	1	1410.0	0	"Adelstitel: ridder 1397.
Admiraal tegen de Friezen 1397 en 1398."	0
676	2030	Heenvliet	van	6.0	1.0	Zweder	1					0	1423.0	1	Adelstitel: ridder 1398.	0
677	2034	Hermansz.	de oude	1.0	1.0	Hendrik	0					0	1420.0	0		0
678	2036	Jansz.		1.0	1.0	Hendrik	0					0		0		0
679	2042	Willemsz.		1.0	1.0	Hendrik	0					0		0		0
680	2043	Herlaar	van	6.0	1.0	Gerrit	1		Ammerzoden			0		0	"Adelstitel: ridder 1348, baanrots 1352.
Overig: (grafelijk) zegelaar 1351."	0
681	2045	Herlaar van der Heule	van	8.0	1.0	Jan	1		Oosterwijk			0	1444.0	0	Adelstitel: knaap 1416.	0
682	2047	Feckenz.		1.0	1.0	Herman	0					0		0		0
683	2051	Herwijnen	van	6.0	1.0	Brustijn	1		Stavenisse	Herwijnen		0		0	"Adelstitel: ridder 1372.
Overig: in ongenade 1396, weer raad in 1400. Gevangene tijdens Arkelse oorlog 1412."	0
684	2054	Hinckaart		11.0	1.0	Filips	1		Mijnden			0		0	Houtvester van Brabant 1417-1421.	0
685	2061	Holland	bastaard van	6.0	1.0	Lodewijk	1		Escaudoeuvres	Vlissingen		0	1436.0	1	Adelstitel: ridder 1418.	0
686	2066	Alkmaar	van	1.0	1.0	IJsbrand	0					0		0		0
687	2068	IJsselstein	van	6.0	1.0	Gijsbrecht	1		IJsselstein			0		0	Adelstitel: ridder 1308.	0
688	2069	IJsselstein	van	6.0	1.0	Gijsbrecht	1		den Bossche (bij Maarssen)			0	1396.0	1	Adelstitel: ridder 1358.	0
689	2071	IJsselstein	van	1.0	1.0	Walraven	0					0		0	Overig: in ongenade 1393. In dienst van Willem van Oostervant 1398-1400, grafelijk bottelier 1410.	0
690	2072	IJzendoorn	van	6.0	1.0	Willem	1		Ijzendoorn	Loenersloot, Oukoop		0	1430.0	0		0
691	2073	Colijnz.		1.0	1.0	Jan	0					0		0		0
692	2075	Jauche	de	6.0	1.0	Jan	1		Gommegnies			0		0	Adelstitel: ridder 1357, baanrots 1363.	0
693	2079	Kats	van	6.0	1.0	Klaas II	1		Schoonhoven			0		0	"Adelstitel: ridder 1285.
(werkzaam van 1285-1297, zie naamgenoot)"	0
694	2081	Kervink van Reimerswaal		6.0	1.0	Klaas	1		Reimerswaal	Nieuw-Strijen		0		0	Adelstitel: ridder 1325.	0
695	2083	Kloetinge	van	1.0	3.0	Jan	0					0		0	Kanunnik van St. Marie te Utrecht.	0
696	2085	Kralingen	van	1.0	1.0	Jan	0					0		0		0
697	2086	Kralingen		6.0	1.0	Ogier	1		Kralingen	Schie, Ijsselmonde		0	1395.0	0	"Adelstitel: knaap 1350, ridder 1385.
Overig: amnestie 1355."	0
698	2088	Kruiningen	van	6.0	1.0	Arend	1		Kruiningen	Woensdrecht		0		0	"Adelstitel: ridder 1340.
Overig: meesterridder van de herberg van Margaretha van Asvesnes 1351. Amnestie 1355."	0
699	2092	Kruiningen	van	6.0	1.0	Jan III	1		Kruiningen	Woensdrecht		0	1392.0	0	"Adelstitel: ridder 1381.
Overig: in dienst van Albrecht van Beieren 1372."	0
700	2093	Kruiningen	van	6.0	1.0	Raas	1		Kruiningen	Tolsende, Woensdrecht, Nieuwlande, Zonzele		0		0	"Adelstitel: ridder 1334, baanrots 1357.
Overig: amnestie 1355."	0
701	2100	Lek	van de	6.0	1.0	Hendrik	1		Heeswijk	Dinther, Nieuwveen		0		0	"Persoonsgegevens: broer van Jan III van Polanen.
Adelsgegevens: ridder 1381.
Overig: in ongenade in Holland 1393."	0
702	2101	Leuchtenberg	von	3.0	1.0	Jan	1					0	1404.0	0	"Adelstitel: landgraaf van Leuchtenberg.
Overig: vitztum in Beieren, raad van Albrecht van Beieren."	0
703	2102	Leyenburg	van	6.0	1.0	Arend	1		Leyenburg	Noordeloos, Goudriaan, Giessen		0	1426.0	0	"Adelstitel: ridder 1377.
Overig: raad van Jacob van Gaasbeek 1420, hofmeester van Jan van Beieren 1424."	0
704	2103	Lier	uter	1.0	1.0	Gijsgen Hendriksz.	0					0		0		0
705	1553	Tak		1.0	1.0	Pieter	0					0	1484.0	0	Persoonsgegevens: zoon van Jacob Tak. In 1476 erfde hij een muntmeesterplaats van zijn broer en deed hem over aan zijn neef Hendrik Haak (Nederlandse Leeuw 1944	0
706	2105	Loenersloot	van	6.0	1.0	Splinter	1		Oucoop	Maarssenbroek		0	1406.0	1	Adelstitel: ridder 1389.	0
707	2106	Maalstede	van der	6.0	1.0	Gerrit	1					0		0	"Adelstitel: knaap 1337, ridder 1340.
Overig: verbannen 1351, amnestie 1355."	0
708	2107	Maalstede	van der	6.0	1.0	Jan	1					0	1363.0	0	Adelstitel: ridder 1355.	0
709	2108	Maalstede	van der	1.0	1.0	Jan heer Jansz.	0					0		0		0
710	2110	Oem van Wijngaarden			1.0	Willem	0					0		0		0
711	2111	Maarsen	van	1.0	1.0	Dirk	0					0		0		0
712	2118	Merwede	van de	6.0	1.0	Daniel V	1		Wieldrecht	Carnisse etc.		0		0	"Persoonsgegevens: zoon van Daniel IV, broer van Florens die dijkgraaf van Zuidholland? was.
Adelstitel: ridder 1328, baanrots 1341.
Overig: raad van Willem IV."	0
713	2122	Merwede	van de	6.0	1.0	Willem	1					0	1379.0	0	Adelstitel: ridder1365. Ambachtsheer in de Grote Waard.	0
714	2123	Mijnden	van	6.0	1.0	Amelis	1		Loosdrecht	Mijnden, Teckop		0		0	"Adelstitel: ridder 1398.
Overig: balling 1423, verzoend 1428."	0
715	2124	Mijnden	van	8.0	1.0	Jan	1					0		0	Adelstitel: knaap 1350.	0
716	2127	Molenaar	de	1.0	1.0	Hendrik	0					0		0		0
717	2128	Molenaar	de	6.0	1.0	Jan	1		Molenaarsgraaf			0	1352.0	0	"Adelstitel: ridder 1345.
Overig: zegelaar 1345. In 1352 vermoord door Hoeken."	0
718	2129	Molenaar	de	1.0	1.0	Paul	0					0		0		0
719	2135	Muiden	van	1.0	1.0	Gijsbrecht	0					0		0		0
720	2136	Muilwijk	van	1.0	1.0	Gerrit	0					0		0		0
721	2143	Nederhem	van	1.0	1.0	Jan	0					0		0		0
722	2145	Nijenrode	van	6.0	1.0	Gijsbrecht	1		Nijenrode	de Lier		0		0	"Adelstitel: ridder 1350.
Maarschalk van Willem V 1351, meester-ridder van zijn herberg 1353-1354, hoofdman van Amsterdam 1356."	0
723	2146	Nijenrode	van	8.0	1.0	Jan	1					0		0	Adelstitel: knaap 1411.	0
724	2147	Noordeloos	van	8.0	1.0	Jan	1		Pendrecht	Strevelshoek		0		0	Adelstitel: knaap 1351.	0
725	1554	Scerf		1.0	1.0	Steven	0					0	1450.0	1	Was voor zijn komst naar Dordrecht muntmeester op diverse plekken in het Duitse Rijk en muntmeester van Gelre te Arnhem.	0
726	2153	Oosterwijk	van	1.0	1.0	Jacob	0					0		0	Overig: in dienst van de graven van Blois.	0
727	2156	Oudshoorn	van	6.0	1.0	Willem	1					0		0	Adelstitel: ridder 1293.	0
728	2157	Oudshoorn	van	1.0	1.0	Gerrit	0					0		0		0
729	2163	Piek		11.0	1.0	Gijsbrecht	1		Beesd			0	1436.0	0	Overig: in dienst van Jan van Beieren 1417-1418.	0
730	2166	Poelenburg	van	1.0	1.0	Gerrit	0					0		0		0
731	2169	Poelgeest	van	6.0	1.0	Gerrit	1		Koudekerk			0	1382.0	0	Adelstitel: ridder 1344.	0
732	2172	Polanen	van	6.0	1.0	Filips	1					0	1401.0	0	"Adelstitel: ridder 1375/76.
Overig: in dienst van Albrecht van Beieren 1372. Hoogheemraad van Delfland 1391."	0
733	2176	Gerritsz.		1.0	1.0	Poppe Pieter	0					0		0		0
734	2179	Raaphorst	van	8.0	1.0	Adriaan	1					0		0	Adelstitel: knaap 1416.	0
735	2181	Raaphorst	van	6.0	1.0	Dirk	1					0	1362.0	0	"Adelstitel: ridder 1347.
Overig: amnestie 1355."	0
736	2184	Raaphorst	van	1.0	1.0	Wouter Jansz.	0					0		0		0
737	2185	Reimerswaal	van	6.0	1.0	Boudijn	1		Lodijke	Nieuw-Strijen		0		0		0
738	2190	Reimerswaal	van	6.0	1.0	Wolfert	1					0	1439.0	1	Adelstitel: ridder 1413.	0
739	2193	Sarisz.		1.0	1.0	Reinoud	0					0		0		0
740	1536	Nemerij		1.0	1.0	Jan	0					0	1434.0	0	"Persoonsgegevens: zwager van Arent Musch.
Overig: Leidse wisselaar 1404."	0
741	2196	Renesse  van Rijnauwen	van	6.0	1.0	Jan	1		Renesse	Baarland, Rijnauwen, Bijleveld		0		0	"Adelstitel: ridder 1364.
Meester-ridder van Albrecht van Beieren 1397-1398."	0
742	2197	Renesse van Everingen	van	6.0	1.0	Jan	1		Baarland	Everingen, 's-Heeraartsberg		0	1430.0	1	Adelstitel: ridder 1376.	0
743	2204	Rolle		1.0	1.0	Klaas	0					0		0		0
744	2210	Schuur	van der	8.0	1.0	IJsbrand	1					0		0	Adelstitel: knaap 1363.	0
745	2211	Schuur	van der	8.0	1.0	Simon	1					0		0	"Adelstitel: knaap 1407.
Overig: in dienst van Albrecht van Beieren 1400."	0
746	2212	Scoddy		1.0	1.0	Floris	0					0		0		0
747	2221	Spaarnwoude	van	1.0	1.0	Willem	0					0		0		0
748	2222	Spangen	van	6.0	1.0	Dirk	1					0		0	Adelstitel: knaap 1350, ridder 1356.	0
749	2224	Spangen	van	6.0	1.0	Filips	1		Overschie			0		0	"Adelstitel: ridder 1396.
Volgens Prevenier kapitein, volgens de Ned. Leeuw kastelein van Ijsselstein.
Overig: hoogheemraad van Schieland 1395-1415, verzoend met Jan van Beieren 1420/1421."	0
750	2226	Stapel	van	6.0	1.0	Godfried	1		Valkenisse			0	1412.0	1	"Prevenier geeft als datum van dagvaartvermelding 7-14 febr. 1419.
Adelstitel: ridder 1398."	0
751	2228	Starke		1.0	1.0	Jan Hugenz.	0					0		0		0
752	2229	Steenvoorde	van	1.0	1.0	Gerrit	0					0		0	(Adelstitel): welgeborene te Rijswijk;	0
753	2230	Stomme		1.0	1.0	Gijsbrecht	0					0		0	Overig: kapelaan.	0
754	2231	Strijen	van	6.0	1.0	Gerrit	1		Zevenbergen			0	1437.0	0	"Adelstitel: 1412.
Overig: verbannen 1427."	0
755	2233	Teilingen	van	6.0	1.0	Simon	1		Over-Sliedrecht	Groensvoord		0		0	Adelstitel: ridder 1356.	0
756	2234	Tetrode	van	11.0	1.0	Filips	1		Zoeterwoude			0		0	"In dienst van Filips van Polanen 1352.
Amnestie 1355. 
In dienst van Albrecht van Beieren 1372."	0
757	2235	Avenz. (van Muden)		1.0	1.0	Tideman	0					0		0		0
758	2237	Tol	van (den) - de jonge	8.0	1.0	Floris	1					0		0	"Adelstitel: knaap 1416. 
Welgeborene te Koudekerk.
Meesterknaap van graaf Albrecht 1396-1398 en 1401 en van graaf Willem VI, balling in 1422 vanwege betrokkenheid bij de moordaanslag op Jan van Beieren in 1424."	0
759	2238	Herlen	van	1.0	1.0	Jan	0					0		0		0
760	2239	Cornelisz.		1.0	1.0	Arend	0					0		0		0
761	1559	Nijekamer		1.0	1.0	Mattheus	0					0		0	waarschijnlijk dezelfde als de Friese muntmeester van 1498-1500.	0
762	2242	Torenburg	van	1.0	1.0	Bartoud	0					0		0		0
763	2243	Tserclaes		1.0	1.0	Floris	0					0		0		0
764	2245	Vasont (Vazott)		1.0	1.0	Jan	0					0		0		0
765	2247	Vianen	van	6.0	1.0	Gijsbrecht	1		Vianen	't Goij		0		0	Adelstitel: baanrots 1386/1387.	0
766	2249	Vianen van Beverweerd	van	6.0	1.0	Jan	1					0	1414.0	0	Adelstitel: ridder 1389.	0
767	2250	Villers	de	11.0	1.0	Jean	1		l ísle-Adam			0		0		0
768	2251	Vink		1.0	1.0	Herman	0					0		0		0
769	2252	Vlaminc van der Goude		8.0	1.0	Jan	1					0		0	Adelstitel: knaap 1356.	0
770	2257	Vorenbroek	van	11.0	1.0	Geerlof Jansz.	1		(half)-Katendrecht			0		0		0
771	2260	Vriese	de	6.0	1.0	Willem	1		Oostende	Hoedekenskerke		0	1449.0	1	Adelstitel: ridder 1416	0
772	2261	Hendriksz.		1.0	1.0	Waddin	0					0		0		0
773	2262	Wale	van den	1.0	1.0	Wouter	0					0		0		0
774	2265	Wassenaar	van	6.0	1.0	Filips IV	1		Wassenaar			0	1428.0	0	"Adelstitel: ridder 1381
Overig: burggraaf van Leiden 1392-1420, baanrots 1400.
In ongenade 1393, verzoend 1396."	0
775	2267	Wateringen	van	6.0	1.0	Jan	1		Wateringen	Vlaardingerambacht		0		0	Adelstitel: ridder 1328.	0
776	2268	Wateringen	van	6.0	1.0	Willem	1		Bleiswijk	Bloemersdijk, Bokelsdijk, Teilingen, Voorhout, Lisse		0	1365.0	0	"Adelstitel: ridder 1352.
Meester-ridder van gravin Machteld van Lancaster 1352, van graaf Willem V 1354."	0
777	2270	Wilde	de		1.0	Ludeken	0					0		0	In dienst van Albrecht van Beieren 1372.	0
778	2271	Aloudsz.		1.0	1.0	Willem	0					0		0		0
779	2274	Witte van Coudenhove	de	6.0	1.0	Gerrit	1					0		0	Adelstitel: ridder 1351.	0
780	2280	Zadelboger		1.0	1.0	Protwitz	0					0	1410.0	1	In dienst van Albrecht van Beieren vanaf 1359.	0
781	2281	Zande	van den	1.0	1.0	Pieter	0					0		0	Kapelaan van Albrecht van Beieren 1385 en van Willem van Oostervant 1389, kanunnik te Den Haag 1389/1390.	0
782	2282	Zandhorst	van	8.0	1.0	Dirk	1					0	1430.0	1	Adelstitel: knaap 1416.	0
783	2283	Zanen	van	8.0	1.0	Frank	1					0		0	"Adelstitel: knaap 1416.
Overig: hoogheemraad van Rijnland 1416."	0
784	2284	Zanen	van	1.0	1.0	Simon	0					0		0		0
785	2285	Zanen	van	8.0	1.0	Willem	1					0		0	"Adelstitel: knaap 1350.
Amnestie 1355."	0
786	2286	Zeelander		1.0	1.0	Klaas	0					0		0		0
787	2289	Zevender	van der	6.0	1.0	Frederik	1					0		0	"Adelstitel: knaap 1390, ridder 1398.
Raad van Guy van Blois."	0
788	2290	Zijl	van	6.0	1.0	Jan	1					0	1332.0	0	Adelstitel: ridder 1305.	0
789	2291	Zuurmond		6.0	1.0	Jan	1					0		0	"Adelstitel: ridder 1351.
Verbannen 1358."	0
790	2298	Adrichem	van	1.0	1.0	Floris	0					0	1500.0	0		0
791	2302	Melisz.		1.0	1.0	Aper	0					0		0		0
792	2303	Alphen	van	1.0	1.0	Jan	0					0		0		0
793	2304	Assendelft	van	1.0	1.0	Klaas Willemsz.	0					0		0		0
794	2309	Boeymer		1.0	1.0	Arend	0					0		0		0
795	2313	Bruine	de	1.0	1.0	Cornelis	0					0		0		0
796	2322	Pietersz.		1.0	1.0	Cornelis	0					0		0		0
797	2323	Duin	van der	11.0	1.0	Jacob	1		ter Duyn	Sprang		0	1506.0	0		0
798	2325	Heede	van der	1.0	1.0	Raas	0					0		0		0
799	2333	Jeude	de	11.0	1.0	Arend	1		Hardinxveld			0		0		0
800	2335	Willemsz.		1.0	1.0	Joost	0					0		0		0
801	1563	Tilly	de	1.0	1.0	Mahieu	0					0		0	Waarschijnlijk dezelfde als de Vlaamse muntmeester van 1492-1496 en die van de stad Gent van 1489. Bij  Inventaris Oud-Archief Schoonhoven ontbreekt datum, echter gelijktijdig wordt Jan Overstege Vastraetsz., waardijn van de munt, genoemd (tussen 1480 en 1500 bekleedt hij de functie).	0
802	2341	Kralingen	van	6.0	1.0	Jacob	1					0		0		0
803	2343	Lanchals		6.0	1.0	Pieter	1				1441	1	1488.0	0	"Adelstitel: ridder 1483.
Overig: lid van hofraad van Maria van Bourgondie en aartshertog Maximiliaan 1477-1488, hofmeester van Maximiliaan 1481-,1488 baljuw van Brugge 1485."	0
804	2359	Reimerswaal	van		1.0	Klaas Filipsz.	0					0	1490.0	1		0
805	2364	Schaumburg	von	1.0	1.0	Wilwolt	0					0		0	Overig: legeraanvoerder van de hertog van Saksen.	0
806	2367	Schoten	van	1.0	1.0	Jan	0					0	1509.0	0	Overig: hoogheemraad van Rijnland 1478.	0
807	2383	Borselen	van	6.0	1.0	Adriaan Jacobsz.	1		Cleverendamme			0		0	Adelstitel: ridder 1506.	0
808	2386	Brederode	van	6.0	1.0	Walraven II	1		Brederode	Vianen, Ameide	1456	0	1531.0	0	Adelstitel: ridder 1486.	0
809	1565	Greve	de	1.0	1.0	Thomas	0					0		0	Voor zijn aanstelling in Dordrecht muntmeester van Gelre, is waarschijnlijk dezelfde als de Brabantse muntmeester van 1510-1513.	0
810	2387	Coulster	van der	1.0	1.0	Floris	0					0	1534.0	1		0
811	2392	Harles	van	1.0	1.0	Wouter	0					0		0		0
812	2394	Bastaardz.		1.0	1.0	Jan	0					0		0		0
813	2397	Cornelisz.		1.0	1.0	Joost	0					0		0		0
814	2399	Klaasz.		1.0	1.0	Klaas	0					0		0		0
815	2400	Filipsz.		1.0	1.0	Jan	0					0		0		0
816	2405	Rode	de	1.0	1.0	Jan Gerritsz.	0					0		0		0
817	2406	Ruiven	van	1.0	1.0	Klaas	0					0	1492.0	0		0
818	2410	Woude	van	1.0	1.0	Karel	0					0		0		0
819	2413	Alkemade	van	1.0	1.0	Jan	0					0		0		0
820	2414	Alkemade	bastaard van	1.0	1.0	Frank	0				1458	1		0		0
821	2418	Coebel		1.0	1.0	Klaas	0					0	1529.0	0		0
822	2419	Duvenvoorde	van	8.0	1.0	Arend	1					0		0	Kapitein-generaal van de vloot naar de Oostzee.	0
823	2422	Glymes	van	11.0	1.0	Maximiliaan	1		Zevenbergen		1485	0	1522.0	0		0
824	2427	Heukesloot		1.0	3.0	Joost	0					0		0		0
825	2434	Schoten	van	1.0	1.0	IJsbrand	0					0		0		0
826	2437	Waveren	van	1.0	1.0	Tijman	0					0		0	Prevenier geeft als datum van dagvaartvermelding:15 okt. 1510.	0
827	2439	Cornelisz.		1.0	1.0	Jan	0					0		0		0
828	2441	Boudijnsz.		8.0	1.0	Gillis	1					0		0		0
829	1569	Bouquet		1.0	1.0	Willem Blasiusz.	0				1505	1	1570.0	0	Persoonsgegevens: zoon van Blasius Bouquet. Broer van Blasius Boucquet jr. De latere waardijn en essayeur van de Utrechtse Munt, Jan Boucquet was waarschijnlijk zijn zoon.	0
830	2444	Allardsz.		1.0	1.0	Jan	0					0		0		0
831	2447	Spangen	van der	1.0	1.0	Jan	0					0		0		0
832	2449			8.0	1.0	Paul	1					0		0		0
833	2451	Natereel		1.0	1.0	Frank	0					0		0		0
834	2452	Eemsenz.		1.0	1.0	Dirk	0					0		0		0
835	2453	Kralingen	van	1.0	1.0	Gillis	0					0		0		0
836	2461			1.0	1.0	Lau	0					0		0		0
837	2463	Tholen	van der	1.0	3.0	Pieter	0					0		0		0
838	2465			1.0	1.0	Klaas	0					0		0		0
839	2466	Teilingen	van	6.0	1.0	Simon	1					0		0		0
840	2468	Everardsz.		1.0	1.0	Allard	0					0		0		0
841	2469	Onledige	de	1.0	1.0	Floris	0					0		0		0
842	2470	Dirksz.		1.0	1.0	Simon	0					0		0		0
843	2471	Made	van der	1.0	1.0	Jan	0					0		0		0
844	2472	Oem		1.0	1.0	Klaas	0					0		0		0
845	2473	Made	van der	1.0	1.0	Dirk	0					0		0		0
846	2475	Brandenburg	van	6.0	1.0	Jan	1					0		0		0
847	2477	Elizabethsz.		1.0	1.0	Willem	0					0		0		0
848	2482	Colijnsz.		1.0	1.0	Matheus	0					0		0		0
849	2483	Avenz.		1.0	1.0	Tielman	0					0		0		0
850	2484	Everdeisz.		1.0	1.0	Hendrik	0					0		0		0
851	2485	Heinenz.		1.0	1.0	Jacob	0					0		0		0
