	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode
410	1018	Heiningen	van	1.0	1.0	Willem Gerritsz.	0					0		0		0
411	1020	Ottenz.		1.0	1.0	Jan	0					0		0		0
412	1024	Abbenbroek	van	6.0	3.0	Gerrit Boudijnsz.	1		Abbenbroek	's-Gravenambacht		0	1494.0	0	"Adelstitel: ridder 1486.
Overig: hoogheemraad van Delfland 1469-1493."	0
413	1026	Assendelft	van	6.0	1.0	Bartoud Gerritsz.	1		Assendelft		1360	1	1443.0	1	"Persoonsgegevens:oom van Jan en Gerrit van Assendelft Dirksz.
Adelstitel: ridder 1398.
Overig: balling 1425. duinmeijer van Heemskerk 1411."	0
414	1029	Créquy	van	6.0	1.0	Jan (V)	1		Créquy	Canaples		0	1472.0	0	Overig: ridder in de Orde van het Gulden Vlies 1430.	0
415	1031	Diepenburg	van	8.0	1.0	Klaas	1		Diepenburg			0	1440.0	0		0
416	1032	Dorp	van	6.0	1.0	Cornelis	1		Dorp	Benthuizen	1425	1	1503.0	0	"Adelstitel: ridder 1486.
Overig: was tussen 1460 en 1490 een aantal keren schepen, burgemeester en lid van de Veertigraad van Delft. Hoogheemraad van Delfland 1492-1496."	0
417	1038	Gravezande	van 's	1.0	2.0	Arend	0					0	1497.0	0		0
418	1046	Neck	van	1.0	1.0	Jan	0					0	1448.0	0	Prior van Jacobijen te Haarlem 1430, en Predikheren te Den Haag 1434.	0
419	1048	Oignies	van	6.0	1.0	Boudijn	1		Estrées			0	1459.0	0	Adelstitel: ridder 1452.	0
420	1059	Roelofsz.		1.0	3.0	Klaas	0					0		0		0
421	1063	Vries	de	11.0	1.0	Klaas	1		Vossemeer	Rijsoord, Schrevelshoek		0	1475.0	1		0
422	1065	Zandvoort	van	1.0	2.0	Jacob	0					0	1477.0	1	Overig: academische titel onzeker. Rentmeester van Hoogstraten voor Frank van Borselen 1464-1467.	0
423	1066	Piek		1.0	1.0	Jan	0					0		0		0
424	1069	Boudijnsz.		1.0	1.0	Dirk	0					0		0		0
425	1073	Jansz.		1.0	1.0	Arend	0					0		0		0
426	1075	Cornelisz.		1.0	1.0	IJsbrand	0					0		0		0
427	1076	Dirksz.		1.0	1.0	Christoffel	0					0		0		0
428	1078	Boelliesz.		1.0	2.0	Klaas	0					0		0		0
429	1079	Say		1.0	1.0	Dirk	0					0		0	Volgens Cox is hij mogelijk dezelfde persoon als Dirk van Assendelft.	0
430	1080	Hendriksz.		1.0	1.0	Arend	0					0		0		0
431	1086	Win		1.0	1.0	Adriaan	0					0		0		0
432	1088	Charlier		1.0	1.0	Klaas	0					0		0		0
433	1090	Ottenz.		1.0	1.0	Frederik	0					0		0		0
434	1094	Syvertsz.		1.0	1.0	Willem	0					0		0		0
435	1097	Veer	van	1.0	1.0	Jan	0				1432	1		0		0
436	1098	Jansz.		1.0	1.0	Klaas	0					0		0		0
437	1100	Gerritsz.		1.0	1.0	Hark	0					0		0		0
438	1101	Kraan		1.0	1.0	Willem Jacobsz.	0					0		0		0
439	1103	Adriaansz.		1.0	1.0	Willem	0					0		0	Heemraad Babyloniënbroek 1501-1503.	0
440	1105	Stenen		1.0	1.0	Jan	0					0		0		0
441	1108	Pauw		1.0	1.0	Pieter Willemsz.	0					0		0		0
442	1111	Dirksz.		1.0	1.0	Jacob	0					0		0		0
443	1112	Gerritsz.		1.0	1.0	Sijbrecht	0					0		0		0
444	1113	Jansz.		1.0	1.0	Wessel	0					0		0		0
445	1116	Luit		1.0	1.0	Jan Adriaansz.	0					0		0		0
446	1120	Jansz.		1.0	1.0	Jacob	0					0		0		0
447	1121	Kibbe		1.0	1.0	Klaas	0					0		0		0
448	1122	Rijswijk		1.0	1.0	Jan heer Willemsz.	0					0		0		0
449	1124	Ranst	van	12.0	1.0	Adriaan	0					0		0		0
