	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
124	358	2	particulier secretaris van Lodewijk Napoleon	0	0	0
125	360	2	secretaris politieke correspondentie (secrétaire des commandements)	0	0	0
126	361	2	secretaris van Staat	0	0	0
127	374	2	grootkamerheer	0	0	0
128	375	2	grootmaarschalk van het Paleis	0	0	0
129	376	2	grootceremoniemeester	0	0	0
130	377	2	waarnemend secretaris van staat	0	0	0
131	378	2	thesaurier-generaal van de kroon	0	0	0
132	379	2	betaalmeester van oorlog	0	0	0
133	380	2	betaalmeester te velde	0	0	0
134	381	2	directeur van de administratie van oorlog	0	0	0
135	382	2	grootmeester	0	0	0
136	384	2	groot-kanselier	0	0	0
137	385	2	groot-thesaurier	0	0	0
138	387	2	secretaris-generaal	0	0	0
139	391	2	eerste president van de staatsraad	0	0	0
140	395	2	landdrost	0	0	0
141	403	2	commissaris-generaal voor de koloniën	0	0	0
142	409	2	inspecteur en essayeur-generaal van de munt en van goud- en zilverwerken	0	0	0
143	412	2	maire van Utrecht	0	0	0
144	413	2	commissaris-generaal voor het geneeskundige	0	0	0
145	414	2	ontvanger-generaal	0	0	0
146	416	2	archivist-directeur van de plannen	0	0	0
147	417	2	algemeen geheimschrijver	0	0	0
148	419	2	zaakverzorger des Konings bij het Hof van Rekening	0	0	0
149	424	2	waarnemend Voorzitter	0	0	0
150	427	2	secretaris-archivist	0	0	0
151	429	2	provisioneel secretaris-generaal	0	0	0
152	432	2	commissaris tot de zaken van het fabriekswezen	0	0	0
153	436	2	commissaire général de l' agriculture	0	0	0
154	439	2	directeur van de militaire archieven, plans en kaarten	0	0	0
155	440	2	eerste aalmoezenier van de koning	0	0	0
156	451	2	redenaar	0	0	0
157	453	2	hoofd-administrateur van het mortificatiefonds	0	0	0
158	479	2	administrateur van het kohier der verpondingen	0	0	0
159	482	2	secretaris en lid van het Comité Centraal van Marine en Waterstaat	0	0	0
160	483	2	gouverneur-generaal	0	0	0
161	484	2	inspecteur en chef de la Loterie à Amsterdam	0	0	0
162	486	2	lid van het Comité Centraal van Marine en Koloniën	0	0	0
163	487	2	président du Conseil	0	0	0
164	488	2	président de la section de Cassation Criminelle	0	0	0
165	489	2	chef de la division du Nord	0	0	0
166	491	2	inspecteur-generaal	0	0	0
167	492	2	ontvanger-generaal van de administratie te lande	0	0	0
168	493	2	gouverneur-generaal van Oost-Friesland	0	0	0
169	494	2	representant	0	0	0
170	496	2	chef	0	0	0
171	497	2	president van de commissie van superintendentie tot de zaken van de Verpondingen	0	0	0
172	499	2	directeur-generaal van het geneeskundig Bestuur van de Armée	0	0	0
173	500	2	secretaris van het departement	0	0	0
174	501	2	ministre secrétaire d' État	0	0	0
175	502	2	secretaris der wetenschappen en kunsten	0	0	0
176	503	2	commissaire-général de la police	0	0	0
177	504	2	raadsheer	0	0	0
178	505	2	waardijn	0	0	0
179	506	2	directeur de la Monnaie d' Utrecht	0	0	0
180	507	2	lid van de raad van administratie over de Waterstaat	0	0	0
181	509	2	chef de bureau	0	0	0
182	510	2	intendant-général	0	0	0
183	511	2	président de la section des requêtes	0	0	0
184	512	2	gouverneur van Kaap de Goede Hoop	0	0	0
185	513	2	lid van de commissie van superintendentie tot de zaken van de verpondingen	0	0	0
186	515	2	secrétaire-général de la préfecture	0	0	0
187	516	2	directeur van de middelen te water	0	0	0
188	517	2	directeur-generaal van de middelen te water	0	0	0
189	518	2	secretaris van de commissie van superintendentie tot de zaken van de verpondingen	0	0	0
190	519	2	secretaris-generaal van het Kohier van de Verponding	0	0	0
191	521	2	grand Chambellan	0	0	0
192	522	2	secrétaire du Cabinet de l' Empereur	0	0	0
193	523	2	président de la section de cassation civile	0	0	0
194	524	2	president van het kohier van de verponding	0	0	0
195	525	2	lid (in gewone dienst)	0	0	0
196	526	2	substituut-secretaris	0	0	0
197	527	2	président de la section de l' Intérieur	0	0	0
198	528	2	ministre (grand juge)	0	0	0
199	529	2	préfet maritime de Hollande	0	0	0
200	530	2	secretaris van het commandement van het Gouvernement van Holland	0	0	0
201	532	2	secretaris-generaal van de algemene directie van de Waterstaat	0	0	0
202	533	2	controleur van de gebouwen in de residentie	0	0	0
203	534	2	commies van de Controleur van de gebouwen in de residentie	0	0	0
204	535	2	controleur van de Koninklijke gebouwen binnen Utrecht	0	0	0
205	539	2	substituut-griffier	0	0	0
206	540	2	raad-auditeur	0	0	0
207	541	2	advocat-général	0	0	0
208	542	2	commies-griffier	0	0	0
209	543	2	conseiller de préfecture	0	0	0
210	544	2	assessor	0	0	0
211	545	2	secretaris ad interim der Financie	0	0	0
212	546	2	kwartierdrost (drost)	0	0	0
213	547	2	commies	0	0	0
214	548	2	momber (Procureur-generaal)	0	0	0
215	551	2	commissielid	0	0	0
216	552	2	toegevoegd commies	0	0	0
217	553	2	membre du Conseil général	0	0	0
218	554	2	advocaat-fiscaal	0	0	0
219	555	2	eerste griffier	0	0	0
220	556	2	tweede griffier	0	0	0
221	557	2	substituut-momber	0	0	0
222	559	2	sous-chef	0	0	0
223	560	2	provisioneel secretaris	0	0	0
224	561	2	klerk	0	0	0
225	562	2	provisioneel minister	0	0	0
226	564	2	chef de bureau	0	0	0
227	565	2	tweede commies	0	0	0
228	566	2	indexmaker	0	0	0
229	567	2	eerste commies	0	0	0
230	568	2	commies expediteur	0	0	0
231	569	2	tweede commies notularis	0	0	0
232	570	2	sub-Agent	0	0	0
233	571	2	commissaris directeur	0	0	0
234	572	2	employé	0	0	0
235	573	2	president der zeewerken	0	0	0
236	574	2	extraordinaris klerk ter assistentie van de Agent	0	0	0
237	575	2	commies tekenaar	0	0	0
238	576	2	lid van de waterstaat	0	0	0
239	577	2	boekhouder van de waterstaat	0	0	0
240	578	2	landschrijver	0	0	0
241	580	2	kopiist geheime stukken	0	0	0
242	581	2	charterbewaarder	0	0	0
243	582	2	landsadvocaat	0	0	0
244	583	2	commies-notularis	0	0	0
245	584	2	klerk-expediteur	0	0	0
246	585	2	eerste klerk	0	0	0
247	587	2	secretaris van de eerste Kamer	0	0	0
248	588	2	charterklerk	0	0	0
249	589	2	lands-fiscaal	0	0	0
250	591	2	secretaris van de cijfers van de Staat	0	0	0
251	592	2	hoofdcommies	0	0	0
252	593	2	commies ter ordonnantie	0	0	0
253	594	2	commissaris bij het departement van Landbouw	0	0	0
254	595	2	commissaris bij het departement van de Fabrieken	0	0	0
255	596	2	thesaurier van de Domeinen	0	0	0
256	597	2	inspecteur van de Domeinen	0	0	0
257	598	2	klerk-notularis	0	0	0
258	599	2	geheimklerk	0	0	0
259	600	2	klerk der eerste Klasse	0	0	0
260	601	2	klerk der tweede Klasse	0	0	0
261	602	2	klerk der Derde Klasse	0	0	0
262	603	2	tweede klerk	0	0	0
263	604	2	commies tot de geneeskundige Staatsregeling	0	0	0
264	605	2	chef der Politie	0	0	0
265	606	2	eerste commies notularis	0	0	0
266	607	2	tweede commies notularis	0	0	0
267	608	2	drossaard	0	0	0
268	609	2	hoofd-commissaris-inspecteur bij de Waterstaat	0	0	0
269	610	2	commissaris-inspecteur bij de Waterstaat	0	0	0
270	611	2	commies-directeur van de equipage	0	0	0
271	612	2	commies-directeur van financiën	0	0	0
272	613	2	charterkamer-commies	0	0	0
273	614	2	meesterknecht	0	0	0
274	615	2	extraordinaris klerk	0	0	0
275	616	2	adjunct secretaris der cijfers	0	0	0
276	617	2	sub-griffier	0	0	0
277	618	2	klerk bij de commies indexmaker	0	0	0
278	619	2	commies tot de zaken van de waterstaat	0	0	0
279	620	2	agendaris	0	0	0
280	621	2	chartermeester	0	0	0
281	622	2	afgevaardigd lid	0	0	0
282	623	2	directeur-generaal van de nationale rivier- en zeewerken	0	0	0
283	624	2	inspecteur van de rivieren	0	0	0
284	625	2	inspecteur van de zeehavens en zeegaten	0	0	0
285	626	2	superintendent Bureau Betaling van de Armee	0	0	0
286	627	2	directeur Bataafse Courant	0	0	0
287	628	2	commissaris van de Nationale Thesaurie	0	0	0
288	629	2	rang nog onbekend	0	0	0
289	630	2	boekhouder	0	0	0
290	631	2	tabelmaker	0	0	0
291	633	2	extraordinaris raad	0	0	0
292	634	2	kamerheer	0	0	0
293	636	2	commissaris Domeinen Nassau	0	0	0
294	637	2	commissaris-inspecteur Domeinen Nassau	0	0	0
295	638	2	commissaris Mortificatiebureau	0	0	0
296	639	2	ontvanger-generaal Domeinen	0	0	0
297	640	2	directeur Loterijen	0	0	0
298	641	2	commissaris-directeur Klein Zegel	0	0	0
299	642	2	commissaris-directeur Zegel Patent	0	0	0
300	643	2	inspecteur-generaal van de Nationale Middelen	0	0	0
301	644	2	chef bureau de traduction	0	0	0
