	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode	overlijdensdag	overlijdensmaand	Opmerkingen2
735	396	Eysinga	van	1	1	Pieter	1				1565.0	0	1645.0	0	"Persoonsgegevens: Nieuw Nederlandsch Biografisch Woordenboek geeft afwijkend geboortejaar 1564.
Overig: was grietman van Rauwerderhem 1602-1635."	9	16.0	1.0	
736	397	Eysinga	Roorda van	1	1	Schelto Hessel	1				1722.0	0	1790.0	0	Overig: was grietman van Haskerland 1750-1790.	9	8.0	7.0	
737	399	Eysinga	Heringa van	1	1	Tjalling Aedo Johan	1				1721.0	1	1768.0	0	Overig: was grietman van Rauwerderhem 1729-1768.	9	5.0	7.0	
738	404	Fockens		1	1	Martinus	0				1632.0	0	1692.0	0	Overig: was grietman van Opsterland 1650-1692.	9			
739	412	Frieswijk		1	1	Edo	0				1648.0	0	1720.0	0		9	7.0	8.0	
740	413	Galama	van	1	1	Seerp	1				1528.0	0	1581.0	0	Overig: was grietman van Baarderadeel 1577-1581.	9	22.0	1.0	
741	417	Glinstra	van	1	4	Eelco	0				1608.0	0	1667.0	0		9	22.0	9.0	
742	418	Glinstra	van	1	1	Hector Epeusz.	0				1647.0	0	1705.0	0	"Persoonsgegevens: De Haan Hettema noemt een gelijknamige neef. Hoewel deze, op grond van de mededeling 'kolonel te paard' een militaire carrière lijkt te hebben gevolgd, kan niet worden uitgesloten dat hij, en niet Hector Epeusz., de functie van gecommitteerde in de Provinciale Rekenkamer van Friesland in 1668 heeft bekleed.
Overig: was grietman van Tietjerksteradeel 1686-1697."	9	19.0	8.0	
743	419	Glinstra	van	1	1	Hector Willem	0				1688.0	0	1751.0	0	Overig: was grietman van Tietjerksteradeel 1714-1751.	9	6.0	10.0	
744	420	Glinstra	van	1	1	Johannes	0				1683.0	0	1714.0	0	Overig: was grietman van Tietjerksteradeel 1706-1714.	9	26.0	1.0	
745	421	Glinstra	van	1	1	Watze	0				1647.0	0	1727.0	0	Overig: was grietman van Gaasterland 1679-1683.	9	2.0	3.0	
746	422	Glinstra	van	1	1	Valerius	0					0		0	"Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 258 en II, 175, maar zonder leefjaren.
Overig: de lijst van Engels (zie de institutionele toelichting bij Gedeputeerde Staten van Friesland) plaatst ook de zittingen in dat college in 1673-1677 en 1711-1713 bij hem; maar dat is onjuist (vergelijk de handtekeningen in Tresoar, archief Staten van Friesland, inv. nr. 2614 eedboek, f. 16v en 19v.)"	9			
747	424	Goslinga	van	1	1	Sicco	1				1664.0	0	1731.0	0	"Overig: was grietman van Franekeradeel 1688-1731.
Was blijkens de lijst van Engels ook gedeputeerde ter Staten-Generaal (zie de institutionele toelichting bij dat college) in 1689-1690, maar dat moet, gezien zijn gelijktijdige lidmaatschap van de Raad van State, een extraordinaris deputatie hebben betroffen."	9	20.0	9.0	
748	432	Haer	van der	1	4	Johan Willem	0				1722.0	0	1764.0	0	Overig: was grietman van Hemelumer Oldeferd 1745-1764.	9	25.0	6.0	
749	434	Haersma	van	1	1	Arent	0				1645.0	0	1709.0	0	Overig: was grietman van Smallingerland 1660-1694.	9	21.0	8.0	
750	435	Haersma	van	1	1	Arent	0				1700.0	0	1723.0	0	"Overig: mogelijk was hij ook nog gecommitteerde in de Generaliteits-Rekenkamer 1719-1722, in plaats van zijn naam- en tijdgenoot (1695-1740, elders in deze database).
Was grietman van Smallingerland 1715-1723."	9	3.0	5.0	
751	436	Haersma	van	1	1	Arent	0				1695.0	1	1740.0	0	"Overig: mogelijk was hij ook nog gecommitteerde in de Admiraliteit in Friesland vanaf 1722, in plaats van zijn naam- en tijdgenoot (1700-1723, elders in deze database).
Was grietman van Achtkarspelen 1712-1740."	9	16.0	9.0	
752	437	Haersma	van	1	1	Aulus	0				1611.0	1	1669.0	0	"Persoonsgegevens: het geboortejaar is mogelijk 1610.
Overig: was grietman van Smallingerland 1637-1660."	9	18.0	6.0	
753	438	Haersma	van	1	4	Aulus	0				1670.0	0	1717.0	0	Overig: was grietman van Smallingerland 1694-1715.	9	11.0	2.0	
754	439	Haersma	van	1	1	Aulus	0				1709.0	0	1763.0	0	Overig: was grietman van Achtkarspelen 1740-1763.	9	29.0	11.0	
755	440	Haersma	de Blocq van	1	1	Daniel	0				1732.0	0	1814.0	0	Overig: was grietman van Achtkarspelen 1764-1795.	9	7.0	12.0	
756	441	Haersma	van	1	1	Eelco	0				1667.0	0	1712.0	0	Overig: was grietman van Achtkarspelen 1688-1712.	9	1.0	2.0	
757	442	Haersma	van	1	4	Ericus	0				1647.0	0	1710.0	0		9	26.0	9.0	
758	443	Haersma	van	1	1	Hans Hendrik	0				1707.0	0	1757.0	0	"Persoonsgegevens: De Haan Hettema geeft afwijkend geboortejaar 1713 of 1715.
Overig: de lijst van Friese gedeputeerden ter Staten-Generaal van Engels (zie institutionele toelichting bij dat college) noemt hem in die hoedanigheid in 1746. Hij zal extraordinaris gedeputeerde zijn geweest, omdat hij in hetzelfde jaar benoemd werd in de Admiraliteit in Friesland.
Was grietman van Oostdongeradeel 1744-1757."	9	17.0	3.0	
759	445	Haersma	van	1	1	Livius	0				1702.0	0	1778.0	0	Overig: was grietman van Smallingerland 1723-1770.	9	30.0	1.0	
760	446	Haersolte tot Hoenlo	van	1	1	Arent	1				1677.0	0	1760.0	0	Overig: was grietman van Barradeel 1704-1753.	9	6.0	1.0	
761	447	Haersolte	van	1	1	Rutger	0				1701.0	0	1776.0	0	Overig: was grietman van Barradeel 1753-1776.	9	10.0	8.0	
762	451	Haren	van	1	1	Adam Ernst	1				1683.0	0	1717.0	0	Overig: was grietman van 't Bildt 1698-1717.	9	12.0	5.0	
763	452	Haren	van	1	1	Duco	1				1688.0	0	1742.0	0	Overig: was grietman van West-Stellingwerf 1711-1742.	9	30.0	11.0	
764	453	Haren	van	1	1	Ernst	1				1623.0	0	1701.0	0	Overig: was grietman van West-Stellingwerf 1673-1688.	9	15.0	8.0	
765	455	Haren	van	1	1	Willem	1				1626.0	0	1708.0	0	"Persoonsgegevens: Willem van Haren had een naamgenoot (1655-1728, elders in deze database) die gedeeltelijk in dezelfde periode  bestuurlijk actief was. Van niet alle bovenlokale functies is duidelijk door wie van de twee ze werden bekleed.
Overig: was grietman van 't Bildt 1652-1698."	9	15.0	4.0	
766	456	Haren	van	1	1	Willem	1				1655.0	0	1728.0	0	"Persoonsgegevens: Willem van Haren had een naam- en tijdgenoot (1626-1708, elders in deze database) die gedeeltelijk in dezelfde periode  bestuurlijk actief was. Van niet alle genoemde bovenlokale functies is duidelijk door wie van de twee ze werden bekleed.
Overig: was grietman van Doniawerstal 1679-1688, van West-Stellingwerf 1688-1711 en van 't Bildt 1718-1723."	9	18.0	9.0	
767	457	Haren	van	1	1	Willem	1	jonkheer			1710.0	0	1768.0	0	Overig: was grietman van 't Bildt 1723-1763.	9	4.0	7.0	
768	461	Harinxma thoe Slooten	van	1	4	Albertus	1	jonkheer			1765.0	0	1816.0	0	Adelspredicaat: 1814.	9	24.0	4.0	
769	462	Harinxma thoe Slooten	Mockema van	1	1	Ernst	1				1650.0	0	1725.0	0	"Persoonsgegevens: volgens De Haan Hettema 77 jaar bij overlijden op 14 mei 1725, dus geboren in 1647 of 1648, in tegenstelling tot de 1650 die Vries geeft.
Overig: was grietman van Baarderadeel 1669-1701."	9	14.0	5.0	
