	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
143	252	0	tollenaar	0	0	0
144	253	0	tollenaar van Geervliet	0	0	0
145	254	0	dijkgraaf van Grote Waard	0	0	0
146	255	0	rentmeester van het Land van Arkel	0	0	0
147	257	0	drossaard van Ter Leede	0	0	0
148	258	0	drossaard van Schoonrewoerd	0	0	0
149	259	0	rentmeester van Schoonrewoerd	0	0	0
150	260	0	baljuw van Amstelland	0	0	0
151	261	0	baljuw van Waterland	0	0	0
152	262	0	baljuw van Zeevang	0	0	0
153	263	0	rentmeester van Amstelland	0	0	0
154	264	0	rentmeester van Waterland	0	0	0
155	265	0	rentmeester van Zeevang	0	0	0
156	266	0	schout van Amsterdam	0	0	0
157	267	0	ruwaard van Holland	0	0	0
158	268	0	tollenaar van Woudrichem	0	0	0
159	269	0	tollenaar van Schoonhoven	0	0	0
160	116	0	muntmeester te Middelburg	0	0	0
161	117	0	muntmeester-generaal van Holland	0	0	0
162	118	0	muntmeester-generaal van de Staten-Generaal	0	0	0
163	119	0	ruwaard van Strijen	0	0	0
164	120	0		0	0	0
165	121	0	kastelein van Heukelum	0	0	0
166	122	0	drossaard van Heukelum	0	0	0
167	123	0	kastelein van Schoonhoven	0	0	0
168	124	0	baljuw van Middelburg	0	0	0
169	125	0	kastelein van Muiden	0	0	0
170	126	0	baljuw van Gooiland	0	0	0
171	127	0	baljuw van Zierikzee	0	0	0
172	128	0	dijkgraaf van Bewesten Ierseke	0	0	0
173	129	0	rentmeester van Bewesten Schelde	0	0	0
174	130	0	tollenaar van Iersekeoord	0	0	0
175	131	0	rentmeester van Beoosten Schelde	0	0	0
176	133	0	kastelein van Loevestein	0	0	0
177	134	0	kapitein van Leiden	0	0	0
178	135	0	baljuw van Bergen	0	0	0
179	136	0	baljuw van Medemblik	0	0	0
180	137	0	baljuw van Kennemerland	0	0	0
181	138	0	rentmeester van Kennemerland	0	0	0
182	139	0	tollenaar van Spaarndam	0	0	0
183	140	0	rentmeester van de bewapening Utrechtse oorlog	0	0	0
184	141	0	baljuw van Beverwijk	0	0	0
185	142	0	rentmeester van Noordholland	0	0	0
186	143	0	rentmeester van het Haagse Bos	0	0	0
187	144	0	rentmeester van Gouda	0	0	0
188	145	0	rentmeester van Schoonhoven	0	0	0
189	146	0	rentmeester van het Land van Stein	0	0	0
190	147	0	rentmeester van Woerden	0	0	0
191	148	0	rentmeester van Voorne	0	0	0
192	149	0	rentmeester van Brielle	0	0	0
193	150	0	rentmeester van Westfriesland	0	0	0
194	151	0	schout van Warmond	0	0	0
195	152	0	schout van Rijnsburg	0	0	0
196	153	0	schout van Scheveningen	0	0	0
197	154	0	schout van Monster	0	0	0
198	155	0	essayeur Zeeuwse Munt	0	0	0
199	156	0	muntmeester te Hoorn	0	0	0
200	157	0	klerk	0	0	0
201	158	0	secretaris (onbezoldigd)	0	0	0
202	159	0	schout van Zoeterwoude	0	0	0
203	160	0	schout van Den Haag	0	0	0
204	161	0	schout van Grootebroek	0	0	0
205	162	0	schout	0	0	0
206	163	0	schout van Bodegraven	0	0	0
207	164	0	schout van Wassenaar	0	0	0
208	165	0	schout van 's-Gravezande	0	0	0
209	166	0	baljuw van 's-Gravenzande	0	0	0
210	167	0	schout van Zuydijck	0	0	0
211	168	0	schout van Voorburg	0	0	0
212	169	0	baljuw van Noordwijk	0	0	0
213	170	0	schout van Texel	0	0	0
214	171	0	schout van Noordwijk	0	0	0
215	172	0	baljuw van Rijnsburg	0	0	0
216	173	0	klerk van gouverneur	0	0	0
217	174	0	dijkgraaf westelijk derde deel van Noord-Beveland	0	0	0
218	175	0	dijkgraaf van Schouwen	0	0	0
219	176	0	rentmeester van Putten	0	0	0
220	177	0	rentmeester van Strijen	0	0	0
221	178	0	baljuw van Domburg	0	0	0
222	179	0	baljuw van Westkapelle	0	0	0
223	180	0	dijkgraaf oost/midden Noord-Beveland	0	0	0
224	181	0	baljuw van Brouwershaven	0	0	0
225	182	0	dijkgraaf van de Westwatering in Walcheren	0	0	0
226	183	0	kapitein van Zierikzee	0	0	0
227	184	0	kapitein-generaal van Zeeland	0	0	0
228	185	0	rentmeester Bloise goederen in Zeeland	0	0	0
229	186	0	ruwaard van Zeeland	0	0	0
230	187	0	baljuw van Tholen	0	0	0
231	188	0	dijkgraaf van Tholen	0	0	0
232	189	0	rentmeester van Tholen	0	0	0
233	190	0	baljuw van Schakerloo	0	0	0
234	191	0	dijkgraaf van Schakerloo	0	0	0
235	192	0	rentmeester van Schakerloo	0	0	0
236	271	0	kastelein van Woerden	0	0	0
237	272	0	kapitein van Woerden	0	0	0
238	273	0	tollenaar van Gorinchem	0	0	0
239	274	0	waardijn van munt te Zevenbergen	0	0	0
240	275	0	commissaris, raad van 4	0	0	0
241	276	0	dijkgraaf van Kennemerland	0	0	0
242	277	0	dijkgraaf van West-Friesland	0	0	0
243	278	0	baljuw van Grootebroek	0	0	0
244	279	0	baljuw van Wognum	0	0	0
245	280	0	baljuw van Abbekerk	0	0	0
246	281	0	baljuw van Zijbekarspel	0	0	0
247	282	0	baljuw van Schieland	0	0	0
248	283	0	kastelein van Medemblik	0	0	0
249	284	0	dijkgraaf van Zuidland (Schouwen)	0	0	0
250	285	0	dijkgraaf van Westeinde (Noord-Beveland)	0	0	0
251	286	0	kapitein van Noord-Beveland	0	0	0
252	287	0	dijkgraaf van Oude en Nieuwe Kats	0	0	0
253	288	0	dijkgraaf van Wolfaartsdijk	0	0	0
254	289	0	dijkgraaf van Zwijndrecht	0	0	0
255	293	0	kapitein van Rotterdam	0	0	0
256	294	0	kapitein van Gorinchem	0	0	0
257	295	0	baljuw van Schoonhoven	0	0	0
258	296	0	kapitein van Schoonhoven	0	0	0
259	297	0	houtvester	0	0	0
260	298	0	baljuw van Wijk	0	0	0
261	299	0	baljuw van Bleiswijk	0	0	0
262	300	0	adjunct-griffier	0	0	0
263	301	0	auditeur (onbezoldigd)	0	0	0
264	302	0	kapitein van Heukelum	0	0	0
265	303	0	kastelein van Geertruidenberg	0	0	0
266	304	0	drossaard van Heusden	0	0	0
267	305	0	rentmeester van Heusden	0	0	0
268	306	0	kastelein van Heusden	0	0	0
269	307	0	raadsheer, college van 9	0	0	0
270	308	0	ontvanger beden	0	0	0
271	309	0	baljuw van Ijsselstein	0	0	0
272	310	0	rentmeester van Ijsselstein	0	0	0
273	311	0	rentmeester van Muiden	0	0	0
274	312	0	baljuw van Muiden	0	0	0
275	313	0	rentmeester van Gooiland	0	0	0
276	314	0	dijkgraaf van de Krimpenerwaard	0	0	0
277	315	0	baljuw van Vlaardingen	0	0	0
278	316	0	schout van Maasland	0	0	0
279	317	0	muntmeester	0	0	0
280	319	0	schout van Niedorpercogge	0	0	0
281	320	0	kastelein van Gooiland	0	0	0
282	321	0	schout van Dordrecht	0	0	0
283	322	0	schout van Strijen	0	0	0
284	323	0	baljuw van Beveren	0	0	0
285	324	0	kastelein van Beveren	0	0	0
286	325	0	ontvanger van Beveren	0	0	0
287	326	0	tollenaar van Dordrecht	0	0	0
288	327	0	schout van Leiden	0	0	0
289	328	0	baljuw van Schiedam	0	0	0
290	329	0	schout van Spaarneland en Spaarndam	0	0	0
291	330	0	tresorier van Haarlem	0	0	0
292	331	0	rentmeester van Zevenbergen	0	0	0
293	332	0	rentmeester van de heerlijkheid Vlissingen	0	0	0
294	333	0	kapitein van Gooiland	0	0	0
295	334	0	kapitein van Muiden	0	0	0
296	335	0	schout van Oudenvliet	0	0	0
297	336	0	schout van Pernis	0	0	0
298	337	0	schout van Poortugaal	0	0	0
299	338	0	dijkgraaf van Medemblik	0	0	0
300	339	0	schout van Vlieland	0	0	0
301	340	0	kapitein van Sluis	0	0	0
302	341	0	kapitein van Zevenbergen	0	0	0
303	342	0	kastelein van Leerdam	0	0	0
304	343	0	kapitein van Leerdam	0	0	0
305	345	0	rentmeester van Wijkerzand	0	0	0
306	346	0	dijkgraaf van de West-Friese omringdijk	0	0	0
307	347	0	rentmeester van het bos van Haarlem	0	0	0
308	348	0	rentmeester van de Vroonlanden	0	0	0
309	318	0	gouverneur-stadhouder	0	0	0
310	350	0	rentmeester van de duinen van Petten	0	0	0
311	351	0	advocaat Grote Raad	0	0	0
312	352	0	rentmeester van Rotterdam	0	0	0
313	353	0	schout van Zoetermeer	0	0	0
314	354	0	dijkgraaf van Schieland	0	0	0
315	355	0	baljuw van Geervliet	0	0	0
316	356	0	dijkgraaf van Korendijk	0	0	0
317	357	0	schout van Korendijk	0	0	0
318	358	0	schout van Bleiswijk	0	0	0
319	359	0	ontvanger van omslagen	0	0	0
320	360	0	tresorier van Dordrecht	0	0	0
321	361	0	registerklerk	0	0	0
322	362	0	rentmeester van s-Gravenpolder	0	0	0
323	363	0	advocaat	0	0	0
324	364	0	baljuw van Den Briel	0	0	0
325	366	0	baljuw van Land van Voorne	0	0	0
326	367	0	baljuw van Goedereede	0	0	0
327	368	0	rentmeester van Goedereede	0	0	0
328	369	0	substituut-ruwaard van Putten	0	0	0
329	370	0	substituut-kastelein van Putten	0	0	0
330	371	0	substituut-dijkgraaf van Putten	0	0	0
331	372	0	kastelein van Oostvoorne	0	0	0
332	373	0	rentmeester in het kwartier Delfland	0	0	0
333	374	0	procureur-postulant	0	0	0
334	375	0	kapitein van Den Briel	0	0	0
335	376	0	gouverneur van Den Briel	0	0	0
336	377	0	substituut-stadhouder	0	0	0
337	378	0	dijkgraaf van Geesterambacht	0	0	0
338	379	0	gouverneur van het eiland Voorne	0	0	0
339	380	0	rentmeester van de omslagen	0	0	0
340	381	0	rentmeester van Texel	0	0	0
341	382	0	opperdijkgraaf van Schouwen	0	0	0
342	383	0	schout van de Hoge Vierschaar	0	0	0
343	384	0	raadsheer (onbezoldigd)	0	0	0
344	385	0	procureur-generaal (onbezoldigd)	0	0	0
345	386	0	houtvester Haagse Bos	0	0	0
346	387	0	schout van Westvoorne	0	0	0
347	388	0	tresorier van Gorinchem	0	0	0
348	389	0	kapitein van Amsterdam	0	0	0
349	390	0	ruwaard van Voorne	0	0	0
350	391	0	substituut charter- en registerbewaarder	0	0	0
351	392	0	schout van Niedorp	0	0	0
352	393	0	kastelein van Zevenbergen	0	0	0
353	394	0	baljuw van Nijenburg	0	0	0
354	395	0	rentmeester van Nijenburg	0	0	0
355	396	0	dijkgraaf van Rijnland	0	0	0
356	397	0	schout van Oegstgeest	0	0	0
357	398	0	baljuw van Assendelft	0	0	0
358	399	0		0	0	0
359	400	0	rentmeester van Reimerswaal	0	0	0
360	401	0	dijkgraaf van westambacht van Ijsselmonde	0	0	0
361	402	0	kapitein van Biervliet	0	0	0
362	403	0	houtvester van Holland	0	0	0
363	404	0	baljuw van Egmond	0	0	0
364	405	0	schout van Oostzanen	0	0	0
365	406	0	schout van Haarlem	0	0	0
366	407	0	kastelein van Eethen	0	0	0
367	408	0	kastelein van Drongelen	0	0	0
368	409	0	kastelein van Meeuwen	0	0	0
369	410	0	drossaard van Eethen	0	0	0
370	411	0	drossaard van Drongelen	0	0	0
371	412	0	drossaard van Meeuwen	0	0	0
372	413	0	rentmeester van Haarlem	0	0	0
373	414	0	schout van Naarden	0	0	0
374	415	0	schout van Muiden	0	0	0
375	416	0	schout van Weesp	0	0	0
376	417	0		0	0	0
377	418	0	rentmeester van Beverwijk	0	0	0
378	419	0	rentmeester van Noordwijk	0	0	0
379	420	0	schout van Velsen	0	0	0
380	421	0	stadhouder van de rentmeester	0	0	0
381	422	0	schout van Lisse	0	0	0
382	423	0	substituut-schout van Alkmaar	0	0	0
383	424	0	schout van Wijk aan Zee	0	0	0
384	425	0	drossaard van Leerdam	0	0	0
385	581	0	dijkgraaf in het nieuwe land op Sint-Maartensdijk	0	0	0
386	582	0	dijkgraaf van Riederwaard	0	0	0
387	583	0	dijkgraaf van Zuid-Walcheren	0	0	0
388	584	0	grafelijk houtvester	0	0	0
389	585	0	grafelijk kamerling	0	0	0
390	586	0	grafelijk klerk	0	0	0
391	587	0	schout van Oudorp	0	0	0
392	588	0	grafelijk raad	0	0	0
393	589	0	maarschalk	0	0	0
394	590	0	grafelijk maarschalk	0	0	0
395	591	0	schout van Markerhoofd	0	0	0
396	592	0	drossaard	0	0	0
