	IDprovincie	provincie	volgnummer
0	2	Zeeland	
1	3	Frise	
2	4	Texel	
3	5	Ems-Occidental	
4	6	Yssel-Supérieur	
5	7	Bouches-de-la-Meuse	
6	8	Zuyderzée	
7	9	Friesland	
8	10	Bouches-de-l' Yssel	
9	11	Holland	
10	12	Utrecht	
11	13	Gelderland	
12	14	Groningen	
13	15	Brabant	
14	16	Maasland	
15	17	Drenthe	
16	18	Amstelland	
17	19	Delf	
18	20	Oude IJssel	
19	21	Eems	
20	22	Rijn	
21	23	Dommel	
22	24	Schelde en Maas	
23	25	Overijssel	
24	26	Oost-Friesland	
25	28	Amstel	
