	IDRegent	IDBron	deel en paginanummer
208	2823	3	II, 1492.
209	2825	1	46 (1953) 186.
210	2825	3	IX, 1239.
211	2825	13	249.
212	2825	14	315.
213	2826	2	68 (1984) 329.
214	2827	1	46 (1953) 228.
215	2827	3	IX, 1279.
216	2827	16	301.
217	2828	1	46 (1953) 256.
218	2828	3	II, 1539.
219	2829	1	46 (1953) 278.
220	2829	16	302.
221	2830	2	23 (1937) 179.
222	2830	3	X, 1157.
223	2831	1	46 (1953) 454.
224	2831	3	I, 1590.
225	2832	2	34 (1948) 315.
226	2832	3	X, 1035.
227	2833	1	45 (1952) 238.
228	2833	3	X, 1006.
229	2834	1	86 (1996/1997) 309.
230	2834	3	VIII, 962.
231	2835	1	82 (1992) 300.
232	2835	3	IV, 590.
233	2836	1	89 (2000/2001) 305.
234	2838	1	89 (2000/2001) 141.
235	2838	3	VIII, 1223.
236	2839	1	87 (1998) 285.
237	2840	1	43 (1950) 293.
238	2840	3	IX, 860.
239	2841	2	26 (1940) 48.
240	2841	3	I, 684.
241	2842	1	83 (1993) 377.
242	2843	2	41 (1955) 333.
243	2845	2	6 (1915) 331.
244	2846	2	38 (1952) 104.
245	2848	2	3 (1912) 339.
246	2849	2	12 (1921/1922) 36.
247	2849	3	II, 113.
248	2850	2	81 (1998) 287.
249	2850	3	VI, 1165.
250	2851	3	X, 859.
251	2852	1	89 (2000/2001) 503.
252	2853	1	88 (1999) 347.
253	2853	3	IX, 676.
254	2854	3	VIII, 1044.
255	2854	32	287.
256	2854	33	110.
257	2855	2	69 (1985) 156.
258	2856	1	44 (1951) 62.
259	2856	3	IX, 945.
260	2857	2	30 (1944) 111.
261	2858	1	79 (1988) 349.
262	2858	3	VIII, 68.
263	2859	2	28 (1942) 32.
264	2859	3	X, 159.
265	2860	2	58 (1972) 109.
266	2861	2	38 (1952) 290.
267	2861	3	IX, 948.
268	2862	1	88 (1999) 228.
269	2862	3	IX, 660.
270	2863	3	IV, 1190.
271	2864	2	55 (1969) 314.
272	2864	3	IX, 1224.
273	2865	2	41 (1955) 48.
274	2866	3	IV, 777.
275	2867	2	42 (1956) 104.
276	2867	3	VIII, 390.
277	2867	15	127.
278	2867	16	152.
279	2868	2	72 (1988) 252.
280	2868	3	IV, 798.
281	2868	15	161.
282	2868	16	192.
283	2869	1	46 (1953) 59.
284	2869	16	291.
285	2870	1	82 (1992) 497.
286	2870	3	I, 878.
287	2871	1	80 (1989) 305.
288	2871	3	VIII, 187.
289	2871	15	113.
290	2872	2	23 (1937) 341.
291	2872	15	257.
292	2873	1	84 (1994) 208.
293	2873	3	VIII, 698.
294	2873	15	147.
295	2874	1	80 (1989) 232.
296	2874	3	IX, 83.
297	2875	3	I, 1230.
298	2876	1	84 (1994) 295.
299	2876	3	IX, 331.
300	2877	2	3 (1912) 345.
301	2877	3	III, 1103.
302	2878	1	46 (1953) 187.
303	2879	1	80 (1989) 293.
304	2880	1	88 (1999) 136.
305	2881	1	79 (1988) 8.
306	2881	3	II, 4.
307	2882	2	10 (1919) 429.
308	2882	3	IX, 1232.
309	2883	1	85 (1995) 527.
310	2883	3	IX, 430.
311	2884	1	45 (1952) 269.
312	2885	1	86 (1996/1997) 249.
313	2885	3	II, 637.
314	2886	2	2 (1911) 70.
315	2886	3	IX, 148.
316	2887	1	89 (2000/2001) 400.
317	2887	3	X, 713.
318	2888	2	60 (1974) 334.
319	2889	2	41 (1955) 26.
320	2889	3	II, 175.
321	2890	1	83 (1993) 188.
322	2890	3	III, 464.
323	2891	1	83 (1993) 503.
324	2892	2	16 (1926) 185.
325	2892	3	V, 238.
326	2894	2	68 (1984) 232.
327	2894	3	VIII, 1253.
328	2894	32	314.
329	2895	1	45 (1952) 271.
330	2896	3	IV, 272.
331	2897	1	80 (1989) 459.
332	2897	3	V, 50.
333	2898	2	62 (1976) 298.
334	2899	2	51 (1965) 315.
335	2900	3	V, 322.
336	2901	2	9 (1918) 154.
337	2902	2	8 (1917) 233.
338	2903	1	44 (1951) 291.
339	2903	3	VIII, 1284.
340	2904	4	1991, 78 en 1861, 210.
341	2905	4	1987, 351.
342	2906	4	1984, 143.
343	2907	4	1991, 275 en 1893, II 1146.
344	2908	1	45 (1952) 338.
345	2908	3	IX, 1115.
346	2909	1	79 (1988) 12.
347	2909	3	IV, 8.
348	2910	1	85 (1995) 41.
349	2910	3	I, 1053.
350	2911	1	86 (1996/1997) 221.
351	2911	3	IV, 814.
