	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode	Eindcontrole
859	889	Ris		1.0	1.0	Willem	0				1753.0	0		0		2	1
860	890	Rosevelt Cateau	van	1.0	4.0	François Adriaan	0				1756.0	0	1820.0	0		2	1
861	891	Rossen	van	1.0	4.0	Jannis Cremer	0				1729.0	0	1804.0	0		2	1
862	892	Rijswijk	van	1.0	1.0	Johannes Wilhelmus	0				1733.0	0	1806.0	0		2	1
863	893	Sandberg		1.0	4.0	Rudolf	0		't Laar		1731.0	0	1808.0	0		2	1
864	895	Scheffer		1.0	1.0	Christoffel	0				1754.0	0	1821.0	0		2	1
865	896	Scheltinga		1.0	1.0	Alart	0				1730.0	0	1813.0	0		2	1
866	897	Schelts		1.0	1.0	Theodorus Fredericus	0				1741.0	0	1812.0	0		2	1
867	898	Schermer		1.0	1.0	Simon	0				1747.0	0	1810.0	0		2	1
868	899	Schimmelpenninck		1.0	1.0	Gerrit	0				1759.0	0	1818.0	0		2	1
869	900	Schluiter		1.0	4.0	Jacob Johan	0				1766.0	0	1838.0	0		2	1
870	901	Schonegevel		1.0	1.0	Taco	0				1756.0	0	1819.0	0		2	1
871	902	Schrijver		1.0	1.0	Jacobus Johannes	0				1755.0	0	1828.0	0		2	1
872	903	Schutte		1.0	1.0	Abraham	0				1760.0	0	1797.0	0		2	1
873	904	Schuylenburch	van	1.0	4.0	François Pierre Guillaume	1	jonkheer	Bommenede		1767.0	0	1818.0	0	"Adelspredicaat: 1815.
Overig: was grietman van Ferwerderadeel vanaf 1790."	2	1
874	905	Senden	van	1.0	4.0	Johan Frederik	0				1728.0	0	1805.0	0		2	1
875	906	Siccama	Hora	1.0	1.0	Johan	0		Klinckema	Ennemaborg	1738.0	0	1812.0	0		2	1
876	907	Sickinghe		1.0	4.0	Pieter Rembt	1	jonkheer			1743.0	0	1821.0	0	"Adelspredicaat: 1814.
Overig: Sickinghe werd in 1805 drost van Hunsingo."	2	1
877	908	Siderius		1.0	4.0	Meinardus	0				1754.0	0	1829.0	0		2	1
878	910	Sinkel		1.0	4.0	Bernardus Severinus	0				1753.0	0	1816.0	0		2	1
879	911	Sitter	de	1.0	4.0	Willem	0				1750.0	0	1827.0	0		2	1
880	912	Six		1.0	4.0	Jan	0		Vromade en Wimmenum	Hillegom	1756.0	0	1827.0	0		2	1
881	913	Slootmans		1.0	1.0	Johannes	0				1765.0	0	1828.0	0		2	1
882	914	Sonnaville	de	1.0	3.0	Petrus	0				1765.0	0	1837.0	0		2	1
883	915	Spaen	van	3.0	1.0	Johan Frederik Willem	1		Ringenberg	Biljoen	1746.0	0	1827.0	0	Adelstitels: baron (Empire) 1813/baron 1814.	2	1
884	917	Spijk	van der	1.0	4.0	Johan Albert	0				1758.0	0	1826.0	0		2	1
885	919	Steenwinkel		1.0	4.0	Jan	0				1754.0	0	1812.0	0		2	1
886	920	Stoffenberg		1.0	4.0	Jan Hendrik	0				1749.0	0	1838.0	0	Overig: op 8 juni 1799 werd Stoffenberg benoemd tot raadsheer in het Departementaal Gerechtshof van de Rijn, dat echter nooit heeft gefunctioneerd.	2	1
887	921	Storm		1.0	4.0	Bernardus	0				1749.0	0	1832.0	0	Overig: Storm werd Raadsheer in het Keizerlijk Gerechtshof te Brussel.	2	1
888	922	Strick van Linschoten		1.0	4.0	Andries Jan	0		Loenersloot	Oucoop	1736.0	0	1806.0	0		2	1
889	923	Sypkens		1.0	3.0	Henricus	0				1736.0	0	1812.0	0		2	1
890	924	Thomas		1.0	1.0	Jacob	0				1737.0	0	1803.0	0		2	1
891	925	Tichler		1.0	4.0	Jan Willem	0				1744.0	0	1808.0	0		2	1
892	926	Tip	Bruigom	1.0	1.0	Willem	0				1734.0	0	1813.0	0		2	1
893	927	Toens		1.0	1.0	Pieter	0				1724.0	0	1802.0	0		2	1
894	928	Tomputte	van	1.0	1.0	Henricus Ludovicus	0				1765.0	0	1837.0	0		2	1
895	929	Tonckens		1.0	1.0	Joachimus Lunsingh	0				1753.0	0	1821.0	0		2	1
896	930	Tour	du	1.0	4.0	Joan	0				1746.0	0	1818.0	0		2	1
897	932	Trip		1.0	4.0	Scato	0				1742.0	0	1822.0	0		2	1
898	933	Twent van Kortenbosch		1.0	4.0	Jacob Anthony	0		Kortenbosch		1776.0	0	1815.0	0		2	1
899	934	Vatebender		1.0	1.0	Gerrit Carel Coenraad	0				1758.0	0	1822.0	0		2	1
900	935	Veen	van	1.0	1.0	Pieter	0				1759.0	0	1827.0	0		2	1
901	936	Veen	Nuhout van der	1.0	4.0	Joachim	0				1756.0	0	1833.0	0		2	1
902	937	Verbeek		1.0	1.0	Albert Jan	0				1758.0	0	1829.0	0		2	1
903	939	Verhees		1.0	1.0	Hendrik	0				1744.0	0	1813.0	0		2	1
904	940	Verster		1.0	1.0	Abraham	0				1751.0	0	1841.0	0		2	1
905	941	Vesters		1.0	1.0	Antonius Hieronimus	0				1743.0	0	1806.0	0		2	1
906	942	Visscher	Canter	1.0	4.0	Tammerus	0				1763.0	0	1803.0	0		2	1
907	943	Visser		1.0	1.0	Coenraad Casparsz.	0				1755.0	0	1808.0	0		2	1
908	944	Vonk		1.0	4.0	Lambertus Christoffel	0				1757.0	0	1846.0	0		2	1
909	945	Voogd		1.0	1.0	Ary	0				1754.0	0	1809.0	0		2	1
910	946	Voort	van der	1.0	3.0	Leonardus	0				1762.0	0	1809.0	0		2	1
911	948	Weerts		1.0	4.0	Arnold Jacob	0				1740.0	0	1828.0	0		2	1
912	949	Well	Sanders van	1.0	1.0	Jan Engelbart	0				1739.0	0	1814.0	0		2	1
913	950	Welsman		1.0	1.0	Jan Godefrides	0				1750.0	0	1802.0	0		2	1
914	951	Werner		1.0	1.0	Dionysius	0				1740.0	0	1803.0	0		2	1
915	952	Witbols		1.0	1.0	Michaël Hendrik	0				1730.0	0	1803.0	0		2	1
916	953	Witt	de	1.0	4.0	Joannes Baptist	0				1764.0	0	1817.0	0		2	1
917	954	Wormer		1.0	4.0	Dirk	0				1756.0	0	1818.0	0		2	1
918	955	Wyck	van der		4.0	Derk Jan	0		De Klencke		1760.0	0	1847.0	0		2	1
