	IDprovincie	provincie	Volgnummer
0	1	Zeeland	1
1	2	Overijssel	2
2	3	Utrecht	3
3	4	Holland	0
4	5	Friesland	0
5	6	Gelderland	0
6	7	Groningen	0
7	8	Brabant	0
8	9	Vlaanderen	0
9	10	Artesië	0
10	11	Namen	0
11	12	Rijsel	0
12	13	Henegouwen	0
13	14	Holland en Zeeland	0
