	19	BatFra
427	7883	12
428	7884	64
429	7885	3175
430	7886	2391
431	7891	3140
432	7896	2959
433	7914	3034
434	7922	3070
435	7923	1170
436	7931	223
437	7932	2601
438	7938	2724
439	7939	2864
440	7940	2870
441	7941	2860
442	7942	3142
443	7644	2524
444	7754	626
445	7779	1628
446	7757	1723
