,lokaal_id,lokaal,old_idlokaal
121,121,District Almelo,['batfra_73']
122,122,District Amersfoort,['batfra_133']
123,123,District Amstelveen,['batfra_136']
124,124,District Amsterdam XIV,['batfra_95']
125,125,District Amsterdam-I,['batfra_33']
126,126,District Amsterdam-II,['batfra_34']
127,127,District Amsterdam-III,['batfra_35']
128,128,District Amsterdam-IV,['batfra_36']
129,129,District Amsterdam-IX,['batfra_41']
130,130,District Amsterdam-V,['batfra_37']
131,131,District Amsterdam-VI,['batfra_38']
132,132,District Amsterdam-VII,['batfra_39']
133,133,District Amsterdam-VIII,['batfra_40']
134,134,District Amsterdam-X,['batfra_42']
135,135,District Amsterdam-XI,['batfra_43']
136,136,District Amsterdam-XII,['batfra_44']
137,137,District Amsterdam-XIII,['batfra_45']
138,138,District Amsterdam-XIV,['batfra_198']
139,139,District Appingedam,['batfra_74']
140,140,District Arnhem,['batfra_107']
141,141,District Assen,['batfra_149']
142,142,District Balk,['batfra_32']
143,143,District Barneveld,['batfra_109']
144,144,District Bergen op Zoom,['batfra_161']
145,145,District Berlikum,['batfra_68']
146,146,District Beverwijk,['batfra_117']
147,147,District Bodegraven,['batfra_150']
148,148,District Breda,['batfra_79']
149,149,District Bredevoort,['batfra_90']
150,150,District Brielle,['batfra_53']
151,151,District Buren-Culemborg,['batfra_114']
152,152,District Delft,['batfra_66']
153,153,District Den Bosch,['batfra_96']
154,154,District Den Haag-I,['batfra_92']
155,155,District Den Haag-II,['batfra_93']
156,156,District Den Haag-III,['batfra_94']
157,157,District Den Haag-III/Leidschendam,['batfra_205']
158,158,District Den Helder,['batfra_112']
159,159,District Deventer,['batfra_89']
160,160,District Doesburg,['batfra_62']
161,161,District Doetinchem,['batfra_101']
162,162,District Dokkum,['batfra_52']
163,163,District Dordrecht,['batfra_81']
164,164,District Drachten,['batfra_59']
165,165,District Druten,['batfra_147']
166,166,District Eindhoven,['batfra_129']
167,167,District Elst,['batfra_63']
168,168,District Enkhuizen,['batfra_71']
169,169,District Etten,['batfra_111']
170,170,District Ferwerd,['batfra_31']
171,171,District Fivelgo,['batfra_164']
172,172,District Geertruidenberg,['batfra_143']
173,173,District Goes,['batfra_199']
174,174,District Goor,['batfra_55']
175,175,District Gorinchem,['batfra_88']
176,176,District Gouda,['batfra_70']
177,177,District Grave,['batfra_102']
178,178,District Groenlo,['batfra_162']
179,179,District Groningen-I,['batfra_64']
180,180,District Groningen-II,['batfra_65']
181,181,District Haarlem,['batfra_194']
182,182,District Haarlem-I,['batfra_82']
183,183,District Haarlem-II,['batfra_83']
184,184,District Harderwijk,['batfra_87']
185,185,District Harlingen,['batfra_49']
186,186,District Hattem,['batfra_135']
187,187,District Hazerswoude,['batfra_156']
188,188,District Helmond,['batfra_119']
189,189,District Hengelo,['batfra_108']
190,190,District Heusden,['batfra_153']
191,191,District Hoorn,['batfra_113']
192,192,District Hunsingo,['batfra_163']
193,193,District Kampen,['batfra_60']
194,194,District Kortgene,['batfra_61']
195,195,District Leende,['batfra_128']
196,196,District Leeuwarden,['batfra_51']
197,197,District Leeuwarderadeel,['batfra_50']
198,198,District Leiden-I,['batfra_122']
199,199,District Leiden-II,['batfra_123']
200,200,District Leidschendam,['batfra_155']
201,201,District Lochem,['batfra_75']
202,202,District Medemblik,['batfra_80']
203,203,District Meppel,['batfra_141']
204,204,District Middelburg,['batfra_197']
205,205,District Middelburg-A,['batfra_54']
