,lokaal_id,lokaal,old_idlokaal
541,541,Stad Delden,['batfra_212']
542,542,Stad Diepenheim,['batfra_215']
543,543,Stad Enschede,['batfra_216']
544,544,Stad Genemuiden,['batfra_218']
545,545,Stad Groningen,['batfra_165']
546,546,Stad Hardenberg,['batfra_225']
547,547,Stad Hasselt,['batfra_227']
548,548,Stad Oldenzaal,['batfra_237']
549,549,Stad Ommen,['batfra_240']
550,550,Stad Ootmarsum,['batfra_242']
551,551,Stad Steenwijk,['batfra_246']
552,552,Stad Vollenhove,['batfra_248']
553,553,Stad Zwolle,['batfra_257']
554,554,Stad en Land van Breda,['batfra_371']
555,555,"Staphorst, Rouveen en IJhorst",['batfra_245']
556,556,Stavoren,"['batfra_392', 'negentiende_eeuw_184', 'divperioden_37']"
557,557,Steden en Landen van Bergen op Zoom en Steenbergen,['batfra_373']
558,558,Steenwijk,['negentiende_eeuw_54']
559,559,Stellingwerf Oosteinde,['negentiende_eeuw_185']
560,560,Stellingwerf Westeinde,['negentiende_eeuw_186']
561,561,Stompwijk,['negentiende_eeuw_140']
562,562,Strijen,['negentiende_eeuw_141']
563,563,Susteren,['negentiende_eeuw_204']
564,564,Terschelling,['batfra_501']
565,565,Texel,['batfra_482']
566,566,Tholen,"['batfra_360', 'negentiende_eeuw_112', 'republiek_23']"
567,567,Tholen en Sint Philipsland,['batfra_366']
568,568,Thorn,['negentiende_eeuw_206']
569,569,Tiel,"['batfra_292', 'negentiende_eeuw_55', 'republiek_48']"
570,570,Tiel/Elst,['negentiende_eeuw_238']
571,571,Tietjerksteradeel,"['batfra_168', 'negentiende_eeuw_187', 'divperioden_10']"
572,572,Tilburg,['negentiende_eeuw_56']
573,573,Tongeren,['negentiende_eeuw_224']
574,574,Tweede Departement - Almen,['batfra_312']
575,575,Tweede Departement - Bronkhorst,['batfra_308']
576,576,Tweede Departement - Gorssel,['batfra_313']
577,577,Tweede Departement - Hummelo,['batfra_309']
578,578,Tweede Departement - Steenderen,['batfra_307']
579,579,Tweede Departement - Vorden,['batfra_310']
580,580,Tweede Departement - Warnsveld en Wichmond,['batfra_311']
581,581,Utingeradeel,"['batfra_196', 'negentiende_eeuw_188', 'divperioden_22']"
582,582,Utrecht,"['negentiende_eeuw_57', 'republiek_34']"
583,583,Valkenburg,['negentiende_eeuw_202']
584,584,Veere,"['batfra_362', 'negentiende_eeuw_113', 'republiek_25']"
585,585,Venlo,['negentiende_eeuw_58']
586,586,Vierde Departement - Lichtenvoorde,['batfra_323']
587,587,Vierde Departement - Ligtenberg,['batfra_322']
588,588,Vierde Departement - Silvolde,['batfra_321']
589,589,Vierde Departement - Terborg,['batfra_319']
590,590,Vierde Departement - Varsseveld,['batfra_320']
591,591,Vijfde Departement - Hengelo,['batfra_327']
592,592,Vijfde Departement - Richterambt Doetinchem,['batfra_324']
593,593,Vijfde Departement - Roderlo,['batfra_326']
594,594,Vijfde Departement - Zelhem,['batfra_325']
595,595,Vlaardingen,"['batfra_465', 'negentiende_eeuw_148']"
596,596,Vledder,['batfra_415']
597,597,Vlissingen,"['batfra_361', 'negentiende_eeuw_114', 'republiek_24']"
598,598,Voorne-Putten,['batfra_500']
599,599,Voorst,"['batfra_278', 'negentiende_eeuw_246']"
600,600,Vries,"['batfra_403', 'negentiende_eeuw_72']"
601,601,Vriezenveen,['batfra_250']
602,602,Waalwijk,['negentiende_eeuw_101']
603,603,Wageningen,"['batfra_263', 'negentiende_eeuw_232', 'republiek_54']"
604,604,Walcheren en Sint Joosland,['batfra_363']
605,605,Wanneperveen en Dinxterveen,['batfra_251']
606,606,Wapserveen,['batfra_414']
607,607,Weert,['negentiende_eeuw_211']
608,608,Weesp,['negentiende_eeuw_149']
609,609,West-Stellingwerf,['divperioden_25']
610,610,Westdongeradeel,"['batfra_191', 'negentiende_eeuw_189', 'divperioden_8']"
611,611,Westerbork,['batfra_443']
612,612,Weststellingwerf,['batfra_188']
613,613,Wijhe,['batfra_252']
614,614,Wijk bij Duurstede,"['negentiende_eeuw_85', 'republiek_37']"
615,615,Willemstad,['negentiende_eeuw_109']
616,616,Wilsum,['batfra_261']
617,617,Winschoten,['negentiende_eeuw_59']
618,618,Woerden,['negentiende_eeuw_150']
619,619,Wonseradeel,"['batfra_192', 'negentiende_eeuw_198', 'divperioden_13']"
620,620,Workum,"['batfra_400', 'negentiende_eeuw_190', 'divperioden_39']"
621,621,Wormerveer,['batfra_458']
622,622,Woudrichem,"['batfra_479', 'negentiende_eeuw_102']"
623,623,Wychen,['negentiende_eeuw_247']
624,624,Wymbritseradeel,"['batfra_185', 'negentiende_eeuw_191', 'divperioden_17']"
625,625,Zaandam,['negentiende_eeuw_60']
626,626,Zalk en Veecaten,['batfra_255']
627,627,Zaltbommel,"['batfra_293', 'negentiende_eeuw_61', 'republiek_52']"
628,628,Zaltbommel (plattelandsdistrict),['negentiende_eeuw_239']
629,629,Zeist,['negentiende_eeuw_78']
630,630,Zesde Departement - Aalten,['batfra_329']
631,631,Zesde Departement - Bredevoort,['batfra_328']
632,632,Zesde Departement - Dinxperlo,['batfra_331']
633,633,Zesde Departement - Winterswijk,['batfra_330']
634,634,Zevenaar,['negentiende_eeuw_248']
635,635,Zevenbergen,['negentiende_eeuw_62']
636,636,Zevende Departement - Beltrum,['batfra_333']
637,637,Zevende Departement - Borculo,['batfra_332']
638,638,Zevende Departement - Eibergen,['batfra_334']
639,639,Zevende Departement - Neede,['batfra_335']
640,640,Zevende Departement - Rekken,['batfra_336']
641,641,Zierikzee,"['batfra_358', 'negentiende_eeuw_63', 'me_5', 'republiek_21']"
642,642,Zoetermeer,['negentiende_eeuw_156']
643,643,Zonhoven,['negentiende_eeuw_221']
644,644,Zuid-Beveland,['batfra_365']
645,645,Zuidbroek,['negentiende_eeuw_74']
646,646,Zuidhorn,['negentiende_eeuw_64']
647,647,Zuidlaren,['batfra_402']
648,648,Zuidwolde,['batfra_420']
649,649,Zutphen,"['batfra_299', 'negentiende_eeuw_65', 'republiek_51']"
650,650,Zutphen (plattelandsdistrict),['negentiende_eeuw_240']
651,651,Zwartsluis,"['batfra_256', 'negentiende_eeuw_94']"
652,652,Zweelo,['batfra_407']
653,653,Zweeloo,['negentiende_eeuw_69']
654,654,Zwolle,"['negentiende_eeuw_66', 'republiek_30']"
