,functie_id,functie,old_idfunctie
123,123,commissaris-inspecteur bij de Waterstaat,['batfra_610']
124,124,commissaris-liquidateur,['batfra_103']
125,125,commissielid,['batfra_551']
126,126,conseiller,['batfra_72']
127,127,conseiller de préfecture,['batfra_543']
128,128,conservateur des forêts à Amsterdam,['batfra_282']
129,129,consul de France à Rotterdam,['batfra_139']
130,130,consul-général de France à Amsterdam,['batfra_138']
131,131,contre-amiral de la Marine Impériale,['batfra_186']
132,132,controleur,['me_64']
133,133,controleur van de Koninklijke gebouwen binnen Utrecht,['batfra_535']
134,134,controleur van de gebouwen in de residentie,['batfra_533']
135,135,controleur-generaal van de publieke inkomsten en uitgaven,['batfra_31']
136,136,directeur,"['batfra_34', 'negentiende_eeuw_27']"
137,137,directeur Bataafse Courant,['batfra_627']
138,138,directeur Loterijen,['batfra_640']
139,139,directeur correspondentie,['batfra_723']
140,140,directeur d' équipement dans l' arrondissement maritime de Hollande,['batfra_192']
141,141,directeur de la Monnaie d' Utrecht,['batfra_506']
142,142,directeur des Ponts et Chaussées en Hollande,['batfra_226']
143,143,directeur des élèves à Paris et à Rome,['batfra_669']
144,144,directeur du premier arrondissement de la police générale,['batfra_69']
145,145,directeur particulier des douanes à  Amsterdam,['batfra_212']
146,146,directeur particulier des douanes à  Emden,['batfra_215']
147,147,directeur particulier des douanes à Dokkum,['batfra_214']
148,148,"directeur principal des douanes en Hollande, à Amsterdam",['batfra_157']
149,149,directeur van de administratie van oorlog,['batfra_381']
150,150,directeur van de middelen te water,['batfra_516']
151,151,"directeur van de militaire archieven, plans en kaarten",['batfra_439']
152,152,directeur van de publieke domeinen en de geestelijke goederen,['batfra_247']
153,153,directeur van het Depot der Koloniën,['batfra_667']
154,154,directeur van het Depot van Marine,['batfra_666']
155,155,directeur-generaal,"['batfra_28', 'negentiende_eeuw_20']"
156,156,directeur-generaal a.i.,['negentiende_eeuw_21']
157,157,directeur-generaal van de middelen te water,['batfra_517']
158,158,directeur-generaal van de nationale rivier- en zeewerken,['batfra_623']
159,159,directeur-generaal van het geneeskundig Bestuur van de Armée,['batfra_499']
160,160,directeur-général,['batfra_66']
161,161,drossaard,['batfra_608']
